StudentID, Name, Gender, Birthday, SocialID, Main Class
22127002,Do Van Hung,Male,20/10/2004,14900048,22CLC02
22127003,Trinh Thi Kim Ngoc,Female,4/3/2004,11048805,22CLC02
22127007,Nguyen Thi Ngoc Han,Female,23/09/2004,12006622,22CLC02
22127008,Ly Thi Kim Oanh,Female,7/1/2004,18400394,22CLC02
22127010,Phan Thi Trang,Female,3/10/2004,16102470,22CLC02
22127011,Nguyen Van An,Male,15/02/2004,18802474,22CLC02
22127013,Bui Thi Thanh Thao,Female,12/10/2004,16524482,22CLC02
22127015,Hoang Thi Thu Ha,Female,7/6/2004,12660049,22CLC02
22127016,Hoang Thi Lan,Female,21/10/2004,12074020,22CLC02
22127017,Tran Thi Thu Thao,Female,5/3/2004,15250578,22CLC02
22127020,Ly Van Binh,Male,13/05/2004,10566086,22CLC02
22127021,Ly Thi Thanh Ngan,Female,24/09/2004,18204450,22CLC02
22127025,Vu Thi Thuy Duong,Female,16/02/2004,12006840,22CLC02
22127026,Ly Van Minh,Male,1/7/2004,14365000,22CLC02
22127028,Trinh Thanh Tuan,Male,26/02/2004,18035434,22CLC02
22127031,Do Van Thanh,Male,6/3/2004,14000295,22CLC02
22127033,Vu Minh Duc,Male,3/12/2004,18306407,22CLC02
22127034,Vu Minh Hieu,Male,14/05/2004,19065408,22CLC02
22127037,Nguyen Van Hai,Male,22/05/2004,18602095,22CLC02
22127038,Le Thi Ngoc,Female,5/10/2004,10180263,22CLC02
