Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127158,Nguyen Van Bao,8.5,8.7,9.3,8.7
20127417,Pham Thanh Huong,9.5,7,9.6,8.3
20127734,Vo Quang Hieu,8.6,8.7,9.8,8.8
20127149,Bui Thi Lan,9.7,7.8,9.7,8.8
20127491,Phan Huy Hoang,6.8,8.8,8.6,8.1
20127779,Tran Ngoc Anh,7.5,9.7,7.3,8.6
20127139,Vo Thi Mai,7.6,9.6,7.4,8.6
20127483,Nguyen Hoang Nam,8.4,9.1,6.8,8.5
20127768,Pham Thi Dieu Linh,9,7.4,7.5,8
20127171,Do Van Hieu,9.9,8.2,8.4,8.8
20127464,Luu Thi Hien,10,8.6,8,9
20127797,Dinh Van Hoa,7.6,8.2,8.4,8
20127152,Nguyen Thi Kim Anh,9.8,10,7.8,9.6
20127439,Le Minh Hung,8.2,8,9.3,8.3
20127712,Tran Van Phuc,8.4,9.9,7,8.9
20127183,Hoang Thi Huong,8.1,6.9,10,7.8
20127457,Trinh Van Hien,9.5,7.8,7.7,8.3
20127738,Ngo Thi Ngoc Tram,9.8,7.1,9.5,8.4
20127197,Huynh Van Minh,6.8,6.5,7.5,6.8
20127478,Ho Thi Mai,8.5,8.7,7.5,8.4
20127743,Truong Van Hung,9.8,8.1,6.8,8.4
20127186,Le Thi Ha,7.3,7.1,6.9,7.1
20127462,Vo Van Huy,10,7.1,6.5,8
20127751,Bui Thi Thanh Huong,7.4,7.8,8.1,7.7
20127176,Phan Van Trung,6.5,6.7,7.5,6.8
20127424,Tran Thi Kim Ngan,8.1,6.6,8.8,7.5
20127784,Vo Van Thanh,7.6,10,7.1,8.7
20127163,Nguyen Thi Thu Ha,8.9,6.9,8.1,7.8
20127496,Pham Van Son,7.8,9.5,6.9,8.5
20127757,Do Thi Bich Ngoc,8.9,8.6,9,8.8
20127154,Luu Van Hien,7.7,9.5,7.7,8.6
20127418,Dinh Thi Thanh Huyen,9.2,6.4,8.9,7.8
20127719,Nguyen Van Hoang,7.1,8.1,8.4,7.8
20127135,Le Thi Thuy Trang,9.2,7.3,7.7,8
20127426,Tran Van Hieu,6.9,7.9,7.6,7.5
20127718,Hoang Thi Thu Ha,7.9,7.2,9,7.7
20127184,Trinh Van Hung,7.8,9,9.2,8.6
20127494,Ngo Thi Thu Trang,6.4,9.6,7.5,8.2
20127736,Huynh Van Hieu,7.9,8.6,8,8.3
20127165,Ho Thi Thanh Thao,6.7,9.5,9.4,8.5
20127432,Truong Van Huy,9.2,8,6.9,8.2
20127714,Le Thi Huong,9,9.5,7.5,9
20127136,Vo Van Anh,7.5,9.6,9.8,8.9
20127486,Bui Thi Hoa,6.9,8.7,9.1,8.2
20127763,Phan Van Quan,6.5,7.6,6.9,7.1
20127142,Tran Thi Thanh Thao,7.9,8.3,7.7,8.1
20127476,Vo Van Minh,8.3,8.7,8.7,8.6
20127727,Nguyen Thi Thanh Huong,7.5,7.5,9.2,7.8
20127147,Pham Van Hieu,7.4,7.7,9.8,8
20127467,Do Thi Thu Huong,8.3,7.3,8.1,7.8
