Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127158,Nguyen Van Bao,6.8,9.7,9.3,8.7
20127417,Pham Thanh Huong,8.3,6.5,7.1,7.2
20127734,Vo Quang Hieu,8.6,9.4,7.4,8.8
20127149,Bui Thi Lan,7.1,8.9,9.4,8.4
20127491,Phan Huy Hoang,9.9,8.2,9.9,9
20127779,Tran Ngoc Anh,6.4,9.8,8.7,8.5
20127139,Vo Thi Mai,8.3,8.6,7.2,8.3
20127483,Nguyen Hoang Nam,8.1,6.5,7.7,7.2
20127768,Pham Thi Dieu Linh,9.4,7,8.1,8
20127171,Do Van Hieu,7.5,9,9.5,8.6
20127464,Luu Thi Hien,9.6,9.1,9.3,9.3
20127797,Dinh Van Hoa,8.4,8.6,9.8,8.7
20127152,Nguyen Thi Kim Anh,7.6,8.9,9.4,8.6
20127439,Le Minh Hung,7.4,7.3,9.5,7.7
20127712,Tran Van Phuc,7.7,8.2,8.7,8.1
20127183,Hoang Thi Huong,7.3,8.9,9.5,8.5
20127457,Trinh Van Hien,9.6,7.6,9.9,8.7
20127738,Ngo Thi Ngoc Tram,9.3,9.2,7.2,8.9
20127197,Huynh Van Minh,7.7,8.1,7.7,7.9
20127478,Ho Thi Mai,9.5,6.9,8.6,8.1
20127743,Truong Van Hung,7.7,9.7,6.6,8.5
20127186,Le Thi Ha,9.6,8.7,8.8,9
20127462,Vo Van Huy,7.1,9.6,7.4,8.4
20127751,Bui Thi Thanh Huong,8.1,9.6,6.5,8.6
20127176,Phan Van Trung,9.6,8.6,7.3,8.7
20127424,Tran Thi Kim Ngan,9.9,6.7,8.1,8
20127784,Vo Van Thanh,6.8,9.6,9.1,8.6
20127163,Nguyen Thi Thu Ha,9,6.9,7.6,7.7
20127496,Pham Van Son,10,8.4,9,9
20127757,Do Thi Bich Ngoc,9.6,7.1,9.9,8.4
20127154,Luu Van Hien,8.6,6.6,9,7.7
20127418,Dinh Thi Thanh Huyen,7.5,9,7.5,8.2
20127719,Nguyen Van Hoang,9.3,7.8,7.9,8.3
20127135,Le Thi Thuy Trang,7.4,9.1,7.9,8.3
20127426,Tran Van Hieu,9.3,7.1,7.3,7.9
20127718,Hoang Thi Thu Ha,6.9,6.9,9.6,7.4
20127184,Trinh Van Hung,9.8,6.5,7.8,7.8
20127494,Ngo Thi Thu Trang,8.1,8.1,6.6,7.9
20127736,Huynh Van Hieu,8.9,7.4,9.3,8.2
20127165,Ho Thi Thanh Thao,8.7,9,9.8,9
20127432,Truong Van Huy,6.9,6.9,7.6,7
20127714,Le Thi Huong,8.4,7.4,9.4,8.1
20127136,Vo Van Anh,9,9.6,7.5,9
20127486,Bui Thi Hoa,9.8,7.2,6.6,8
20127763,Phan Van Quan,9.4,6.8,6.6,7.6
20127142,Tran Thi Thanh Thao,8.6,6.7,8.9,7.7
20127476,Vo Van Minh,9.9,6.8,8.6,8.1
20127727,Nguyen Thi Thanh Huong,7.6,9.1,7.1,8.3
20127147,Pham Van Hieu,8.3,8.3,8.2,8.3
20127467,Do Thi Thu Huong,7.7,9.6,7.1,8.5
