Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127928,Truong Van Anh,9.8,8.4,8.4,8.9
21127825,Le Thi Mai Anh,8.4,8.6,6.6,8.2
21127999,Vo Van Hoang,8.2,9.9,8.1,9
21127750,Bui Thi Thanh Thuy,10,9.8,9.3,9.8
21127598,Phan Van Hung,6.5,9.2,7.4,8
21127806,Tran Thi Kim Anh,9.9,9.5,9.2,9.6
21127901,Vo Van Anh,8.8,8.7,8.7,8.7
21127782,Nguyen Thi Kim Anh,7.7,6.6,8.9,7.3
21127631,Pham Van Hoang,6.5,7.3,7.4,7
21127930,Do Thi Mai Anh,6.4,7.7,8,7.3
21127172,Luu Van Tuan,8.4,9.5,10,9.2
21127915,Dinh Thi Thu Ha,8.9,7.7,7.6,8.1
21127433,Nguyen Van Khanh,8.9,7.7,7.1,8
21127826,Le Thi My Linh,9.9,8.1,8.6,8.8
21127149,Tran Van Phuong,6.9,7.2,6.8,7
21127864,Hoang Thi Phuong Thao,9.2,7.4,9.7,8.4
21127736,Trinh Van An,9.9,6.6,8.7,8
21127958,Ngo Thi Thu Huyen,8.1,9.5,8.7,8.9
21127338,Huynh Van Anh,8.5,7.1,6.6,7.5
21127992,Ho Thi Thu Huong,9.4,7.8,9.6,8.6
21127390,Truong Van Anh,9.2,6.6,7.4,7.6
21127943,Le Thi Mai Anh,6.8,8.4,10,8.1
21127724,Vo Van Hoang,9.6,8.1,9.9,8.9
21127239,Bui Thi Thanh Thuy,7.8,6.7,6.6,7.1
21127730,Phan Van Hung,7.8,9.8,8.9,9
21127587,Tran Thi Kim Anh,7.8,7.7,8.4,7.9
21127717,Vo Van Anh,9.4,6.5,9.5,8
21127310,Nguyen Thi Kim Anh,6.5,8.4,7.9,7.7
21127358,Pham Van Hoang,9.8,8,6.4,8.3
21127569,Do Thi Mai Anh,6.9,7,9.8,7.4
21127765,Luu Van Tuan,8,8.2,7.5,8
21127222,Dinh Thi Thu Ha,6.6,8,9.8,7.8
21127542,Nguyen Van Khanh,7.2,7.6,8.2,7.6
21127446,Le Thi My Linh,7.9,7.4,9.3,7.9
21127658,Tran Van Phuong,9,7.8,6.8,8
21127380,Hoang Thi Phuong Thao,7.4,9.9,9,8.9
21127771,Trinh Van An,7.2,7.4,9.2,7.6
21127441,Ngo Thi Thu Huyen,6.6,8.4,7.1,7.6
21127322,Huynh Van Anh,7.2,9.6,6.8,8.3
21127609,Ho Thi Thu Huong,9.8,9.9,7.8,9.5
21127335,Truong Van Anh,8.7,7.2,9.8,8.1
21127934,Le Thi Mai Anh,8.1,9.9,8.6,9.1
21127574,Vo Van Hoang,7.8,9.5,9.8,9
21127665,Bui Thi Thanh Thuy,6.9,9.8,8.8,8.7
21127941,Phan Van Hung,6.6,9.8,9.2,8.6
21127950,Tran Thi Kim Anh,9.3,6.9,7.8,7.9
21127745,Vo Van Anh,9,8.9,7.8,8.8
21127248,Nguyen Thi Kim Anh,7.1,7.1,8.1,7.3
21127758,Pham Van Hoang,8.9,9.5,9.8,9.3
21127913,Do Thi Mai Anh,9.6,8.7,6.5,8.6
