Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127278,Le Van Khoa,9.1,9,8.3,8.9
23127525,Nguyen Thi Ngoc,10,7.5,7.6,8.3
23127175,Pham Van Minh,9.6,9.7,9.6,9.7
23127820,Tran Thi Thao,9.2,9.3,6.4,8.8
23127695,Hoang Van Quan,8,8.7,9.3,8.6
23127432,Le Thi Thuy,8.2,6.6,9.3,7.6
23127459,Nguyen Van Thanh,8,7.3,9,7.8
23127364,Pham Thi Kim,8,6.6,9.3,7.5
23127958,Tran Van Thanh,9.2,8.4,6.5,8.3
23127718,Hoang Thi Mai,7.7,9.1,7.8,8.4
23127889,Le Van Nhan,7.5,7.7,9.3,7.9
23127993,Nguyen Thi Nhung,7.3,6.6,7.8,7
23127196,Pham Van Hieu,8.6,8,8.9,8.3
23127197,Tran Thi Huong,6.7,6.7,7,6.8
23127948,Hoang Van Hieu,7.2,6.8,7.4,7
23127359,Le Thi Bich,9,8.4,7.2,8.4
23127663,Nguyen Van Binh,6.4,8.9,8.1,7.9
23127731,Pham Thi Thuy,7.7,7,6.7,7.2
23127234,Tran Van Dung,9.9,9.9,9.4,9.8
23127981,Hoang Thi Lan,8.3,8.9,8.2,8.6
23127682,Le Van Anh,7.2,7.6,8.5,7.6
23127971,Nguyen Thi Ngoc,9.5,7.1,7.4,7.9
23127677,Pham Van Hung,8.9,7.2,7.2,7.8
23127710,Tran Thi Lan,9,9.5,8.6,9.2
23127245,Hoang Van Hung,6.4,6.6,9.9,7.1
23127163,Le Thi Thao,7.2,9.3,7,8.2
23127583,Nguyen Van Cuong,7.4,6.8,7.4,7.1
23127861,Pham Thi Kim,7.5,6.8,7.8,7.2
23127781,Tran Van Hiep,8,9.9,9.6,9.2
23127271,Hoang Thi Nhung,7.9,7.1,9.8,7.8
23127770,Le Van Phuong,9.7,9.1,8.4,9.2
23127288,Nguyen Thi Trang,8.9,9.3,9.5,9.2
23127846,Pham Van Anh,7.6,9.8,9.8,9.1
23127448,Tran Thi Nhung,9.7,9.8,9.2,9.7
23127856,Hoang Van Hoa,7.6,7.8,9.2,8
23127581,Le Thi Minh,7.2,6.9,6.9,7
23127631,Nguyen Van Dung,8.3,8.1,8.3,8.2
23127365,Pham Thi Bao,8.1,8.9,9,8.7
23127158,Tran Van Phong,6.9,8.5,6.5,7.6
23127825,Hoang Thi Ngoc,6.6,6.8,6.6,6.7
23127285,Le Van Khanh,9,9.2,6.8,8.7
23127686,Nguyen Thi Kim,9.3,8.3,6.5,8.3
23127171,Pham Van Quang,9.6,9,6.6,8.8
23127867,Tran Thi Thu,8.6,7.6,8.5,8.1
23127374,Hoang Van Thanh,9.2,7.4,7,7.9
23127819,Le Thi Phuong,9.4,8.9,7.5,8.8
23127739,Nguyen Van Tuan,7.4,9.6,8.8,8.7
23127555,Pham Thi Hanh,9.5,8.2,8.7,8.7
23127353,Tran Van Hieu,7.1,6.8,6.5,6.8
23127451,Hoang Thi My,7.4,7.1,9.5,7.6
