Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127563,Le Quoc Cuong,6.5,9,8.9,8.2
22127850,Nguyen Thi Ha,6.6,10,7.7,8.5
22127770,Pham Van Long,9,9.5,9.6,9.3
22127297,Tran Thi Nga,9.2,7.1,8.2,8
22127916,Hoang Van Son,9.1,9.4,9.4,9.3
22127781,Le Thi Uyen,8.9,6.7,6.9,7.5
22127145,Nguyen Van Anh,7.8,9.5,9.1,8.9
22127462,Pham Thi Dao,8.7,8.7,8.1,8.6
22127280,Tran Van Huy,9.2,8.4,8,8.6
22127429,Hoang Thi Ngoc,8.8,8.5,7.7,8.5
22127536,Le Van Quan,6.7,7,8.2,7.1
22127653,Nguyen Thi Trang,8.3,7.1,7.1,7.5
22127277,Pham Van Thinh,7.2,7.2,7.2,7.2
22127390,Tran Thi Cam,7.6,7.3,9.4,7.7
22127901,Hoang Van Hung,9.9,8.9,9,9.2
22127899,Le Thi Mai,6.7,8.3,6.9,7.5
22127445,Nguyen Van Cuong,8.3,9.8,6.5,8.8
22127589,Pham Thi Ha,9,7.7,8.8,8.3
22127470,Tran Van Minh,9.2,9.1,8,8.9
22127316,Hoang Thi Suong,8.9,8.9,8.5,8.8
22127176,Le Quoc Trung,6.8,6.4,9.6,7.1
22127626,Nguyen Thi Bao,10,6.9,6.8,7.9
22127455,Pham Van Duy,9.9,9.8,8.5,9.6
22127891,Tran Thi Hoa,9.6,9.5,6.6,9.1
22127349,Hoang Van Kiet,9.6,9.6,8.7,9.5
22127603,Le Thi Mai,8.7,6.6,9,7.7
22127870,Nguyen Van Quan,9.9,6.4,9.6,8.1
22127158,Pham Thi Thanh,9.2,8.3,8.1,8.6
22127224,Tran Van Vinh,8.6,6.9,7.2,7.5
22127984,Hoang Thi Binh,9.6,9.4,9.3,9.5
22127693,Le Quoc Dung,9.2,7.5,7.2,8
22127611,Nguyen Thi Hoai,8.7,6.6,8.6,7.6
22127855,Pham Van Loc,7.6,8.2,8.1,8
22127829,Tran Thi Ngoc,9.6,6.8,7.7,7.9
22127251,Hoang Van Son,9.5,6.9,8.1,8
22127943,Le Thi Trang,6.5,7.1,9,7.2
22127776,Nguyen Van Vinh,6.9,6.8,7.1,6.9
22127635,Pham Thi Bich,8.6,6.5,8.2,7.5
22127884,Tran Van Dinh,9.1,8.8,7,8.6
22127469,Hoang Thi Huong,8.8,9.5,7.7,9
22127578,Le Quoc Long,8.8,7.1,9.6,8.1
22127327,Nguyen Thi Nga,8.8,10,8.9,9.4
22127347,Pham Van Quyen,8.4,8.9,6.5,8.3
22127965,Tran Thi Thuy,9.6,7.1,9.7,8.4
22127922,Hoang Van An,9.9,7.9,9.2,8.8
22127662,Le Thi Cam,7.2,8.4,7.7,7.9
22127557,Nguyen Van Hieu,9.6,9.5,9,9.5
22127980,Pham Thi Huong,9.3,8.1,8.4,8.5
22127735,Tran Van Long,8.3,8.7,7.7,8.4
22127896,Hoang Thi Nga,7.1,6.8,8,7.1
