Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127924,Tran Thi Bao,7.5,9.6,9.5,8.9
22127938,Hoang Van Duy,9.5,9,7,8.8
22127685,Le Thi Lan,7.7,7.5,8.6,7.8
22127607,Nguyen Van Minh,9.3,8,6.4,8.2
22127333,Pham Thi Quyen,8,7.8,7.5,7.8
22127695,Tran Van Tuan,9.8,9.2,7.8,9.2
22127381,Hoang Thi Yen,6.4,8.4,7.6,7.6
22127221,Le Quoc Chinh,9,9.8,7.5,9.2
22127994,Nguyen Thi Giang,9,8.7,6.6,8.4
22127713,Pham Van Nam,7,9.1,7.5,8.1
22127391,Tran Thi Quy,7.2,7.4,9.8,7.7
22127573,Hoang Van Sang,8.1,6.8,7.2,7.3
22127368,Le Thi Thanh,6.8,8.9,9,8.2
22127982,Nguyen Van Binh,6.4,9.6,6.8,8.1
22127947,Pham Thi Diem,8.1,9.1,9.1,8.8
22127732,Tran Van Loc,8.2,8.6,9.9,8.7
22127791,Hoang Thi Nhung,8.7,6.7,9.3,7.8
22127486,Le Quoc Gia,8.6,9.2,9.3,9
22127233,Nguyen Thi Linh,9.5,9.3,9.5,9.4
22127424,Pham Van Quang,7.8,9.2,9.2,8.7
22127648,Tran Thi Thao,7.7,10,7.8,8.9
22127817,Hoang Van Anh,10,8.4,8,8.9
22127248,Le Thi Dung,9.3,7.1,9.8,8.3
22127209,Nguyen Van Hieu,8.3,7.9,7.6,8
22127939,Pham Thi Huong,8.3,6.9,9.2,7.8
22127362,Tran Van Long,9.6,9.6,7.1,9.2
22127188,Hoang Thi Nga,8.6,9.1,10,9.1
22127452,Le Quoc Son,8.3,7.1,7.5,7.6
22127195,Nguyen Thi Trinh,7,9,6.6,7.9
22127736,Pham Van An,8.4,9.6,7.6,8.9
22127292,Tran Thi Dao,9.3,9.8,6.7,9.1
22127785,Hoang Van Hieu,6.9,6.6,9.6,7.2
22127526,Le Thi Lan,6.5,7.5,9.1,7.4
22127336,Nguyen Van Nam,7.7,8.3,9.6,8.3
22127260,Pham Thi Quyen,7.5,8.1,7.3,7.8
22127919,Tran Van Thuan,7.7,8.1,7.7,7.9
22127826,Hoang Thi Uyen,9.1,6.6,9.3,7.9
22127307,Le Quoc Anh,8.2,8.4,8.6,8.4
22127239,Nguyen Thi Dao,6.8,9,9.2,8.3
22127959,Pham Van Hieu,9.6,8.1,8.3,8.6
22127928,Tran Thi Lan,8.9,6.5,8.9,7.7
22127284,Hoang Van Minh,9.3,8.3,7.1,8.4
22127418,Le Thi Phuong,7.2,7.4,9.5,7.7
22127542,Nguyen Van Thanh,8,7.5,9,7.9
22127411,Pham Thi Trang,9.1,6.6,9.5,7.9
22127169,Tran Van Binh,7.5,8.2,7.5,7.8
22127206,Hoang Thi Ha,6.7,7.9,8.4,7.6
22127699,Le Quoc Hung,7.4,9.1,8.7,8.5
22127566,Nguyen Thi Lan,9.7,9.6,6.7,9.2
22127154,Pham Van Minh,9,7.2,7.1,7.8
