Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21125002,Do Thanh Tung,,,,
21125004,Dao Thi Thu Huong,,,,
21125010,Dang Thi Bich Thuy,,,,
21125012,Pham Van Minh,,,,
21125016,Dang Thi Bich Ngoc,,,,
21125018,Do Minh Tung,,,,
21125019,Le Minh Khanh,,,,
21125020,Tran Thi Bich Ngoc,,,,
21125022,Trinh Minh Anh,,,,
21125023,Dang Minh Duc,,,,
21125024,Trinh Thi Thuy Dung,,,,
21125025,Ngo Minh Tuan,,,,
21125026,Trinh Van Son,,,,
21125029,Vu Thi Thanh Ha,,,,
21125030,Pham Thi Hien,,,,
21125032,Duong Thi Thanh Huong,,,,
21125033,Trinh Thi Ngoc Ha,,,,
21125036,Trinh Thanh Tam,,,,
21125037,Ngo Thi Ngoc Anh,,,,
21125040,Phan Van Thanh,,,,
