StudentID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127002,Do Van Hung,,,,
22127003,Trinh Thi Kim Ngoc,,,,
22127007,Nguyen Thi Ngoc Han,,,,
22127008,Ly Thi Kim Oanh,,,,
22127010,Phan Thi Trang,,,,
22127011,Nguyen Van An,,,,
22127013,Bui Thi Thanh Thao,,,,
22127015,Hoang Thi Thu Ha,,,,
22127016,Hoang Thi Lan,,,,
22127017,Tran Thi Thu Thao,,,,
22127020,Ly Van Binh,,,,
22127021,Ly Thi Thanh Ngan,,,,
22127025,Vu Thi Thuy Duong,,,,
22127026,Ly Van Minh,,,,
22127028,Trinh Thanh Tuan,,,,
22127031,Do Van Thanh,,,,
22127033,Vu Minh Duc,,,,
22127034,Vu Minh Hieu,,,,
22127037,Nguyen Van Hai,,,,
22127038,Le Thi Ngoc,,,,
