Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127002,Dang Minh Tam,,,,
23127005,Ngo Thi Thu Hien,,,,
23127006,Ly Thi Ngoc Tram,,,,
23127007,Trinh Van Minh,,,,
23127008,Duong Thanh Tung,,,,
23127009,Tran Thi Thanh Thao,,,,
23127010,Ngo Thi Thu Huong,,,,
23127011,Do Thi Hoa,,,,
23127012,Phan Van Hoa,,,,
23127013,Do Thi Thuy,,,,
23127014,Pham Van Hai,,,,
23127021,Le Thi Thuy Linh,,,,
23127026,Dang Thi Thanh Truc,,,,
23127027,Le Thanh Nam,,,,
23127029,Duong Thi Thanh Truc,,,,
23127031,Do Thi Thanh Hien,,,,
23127032,Nguyen Thi Ngoc Anh,,,,
23127033,Hoang Thi Nga,,,,
23127036,Duong Thi Ngoc Trinh,,,,
23127040,Ly Van Duc,,,,
