Student ID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127001,Le Dinh Tung,,,,
21127003,Trinh Thi Thuy Linh,,,,
21127005,Duong Thi Kim Anh,,,,
21127008,Hoang Minh Hieu,,,,
21127009,Pham Minh Chinh,,,,
21127011,Vu Thanh Tam,,,,
21127012,Dao Van Anh,,,,
21127014,Pham Minh Anh,,,,
21127017,Hoang Minh Tan,,,,
21127018,Tran Huu Tuan,,,,
21127019,Tran Thi Thanh Nga,,,,
21127020,Bui Minh Tam,,,,
21127022,Duong Van Hai,,,,
21127025,Ly Thi Thanh Huong,,,,
21127029,Ngo Van Anh,,,,
21127031,Duong Thi Lan,,,,
21127033,Dao Minh Quan,,,,
21127034,Dang Van Minh,,,,
21127035,Dang Thi Thao,,,,
21127036,Le Thi Thanh Mai,,,,
