Student ID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22125002,Le Thanh Long,,,,
22125003,Phan Thanh Hai,,,,
22125005,Dao Thanh Long,,,,
22125006,Tran Van Hoa,,,,
22125007,Phan Van Tam,,,,
22125010,Bui Thanh Hoa,,,,
22125012,Duong Van Minh,,,,
22125013,Hoang Van Thanh,,,,
22125014,Vu Thi Thanh Xuan,,,,
22125019,Phan Huu Hai,,,,
22125020,Hoang Thi Thu Huong,,,,
22125024,Bui Quoc Bao,,,,
22125026,Dao Thi Thanh Thuy,,,,
22125028,Vu Thi Dieu,,,,
22125029,Do Thi Cam Tu,,,,
22125034,Phan Thi Thu Thuy,,,,
22125035,Do Thi Thu Trang,,,,
22125037,Tran Thi Thu,,,,
22125038,Pham Minh Tuan,,,,
22125039,Dang Thi Mai,,,,
