Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127777,Tran Thi Nhung,9,8.9,9.8,9.1
23127987,Hoang Van Hoa,9.5,9.5,8,9.2
23127651,Le Thi Minh,7.4,7.5,10,7.9
23127172,Nguyen Van Dung,8.6,7.4,8.5,8
23127699,Pham Thi Bao,7.5,6.6,7.1,7
23127795,Tran Van Phong,7.1,6.8,9.3,7.3
23127761,Hoang Thi Ngoc,9,6.6,8.3,7.7
23127833,Le Van Khanh,7.1,7.4,8,7.4
23127779,Nguyen Thi Kim,8.7,9.4,9.6,9.2
23127754,Pham Van Quang,7.3,6.7,8.2,7.2
23127546,Tran Thi Thu,6.5,8.7,7.6,7.8
23127877,Hoang Van Thanh,6.8,8.1,6.8,7.4
23127342,Le Thi Phuong,6.4,9.5,8.3,8.3
23127391,Nguyen Van Tuan,8,9.9,8.7,9.1
23127186,Pham Thi Ngan,6.9,6.6,9.4,7.2
23127535,Tran Van Khanh,9.6,6.5,6.9,7.6
23127898,Hoang Thi Ngoc,7,8,9.2,7.9
23127934,Le Van Phuong,6.9,6.8,8.8,7.2
23127636,Nguyen Thi Trang,9.8,9.8,7.4,9.4
23127742,Pham Van Anh,6.4,6.8,9.6,7.1
23127805,Tran Thi Bich,7.7,9.3,8.9,8.7
23127747,Hoang Van Tuan,8.1,9.2,8.6,8.7
23127394,Le Thi Mai,9.8,7.5,7.8,8.3
23127469,Nguyen Van Binh,9.2,6.6,10,8
23127198,Pham Thi Thuy,7.1,8.4,7.1,7.8
23127518,Tran Van Dung,9,8,8.7,8.5
23127852,Hoang Thi Lan,6.6,8.3,7.3,7.6
23127991,Le Van Anh,8.1,9.2,9.8,8.9
23127642,Nguyen Thi Ngoc,6.9,7,7.4,7
23127759,Pham Van Hung,9.5,6.9,8.6,8.1
23127514,Tran Thi Lan,9.8,6.8,8,8
23127879,Hoang Van Hung,7.5,6.5,8.9,7.2
23127315,Le Thi Thao,6.9,8.4,9.5,8.1
23127849,Nguyen Van Anh,8.6,7.2,7.8,7.8
23127978,Pham Thi Lan,8.3,9.9,6.4,8.8
23127783,Tran Van An,6.8,8.1,7.5,7.6
23127913,Hoang Thi Thu,7.7,8.7,8.6,8.3
23127985,Le Van Hoang,7.8,9.7,9.8,9.1
23127547,Nguyen Thi Hien,6.5,9.1,6.8,7.8
23127675,Pham Van Toan,6.6,8.5,7.5,7.7
23127161,Tran Thi Mai,8.4,9.1,7.2,8.5
23127922,Hoang Van Tai,9.8,7.4,6.5,8.1
23127216,Le Thi Lan,7.1,8,9.1,7.9
23127383,Nguyen Van Tien,6.6,7.5,6.5,7
23127268,Pham Thi Hoa,7.5,9.9,9.6,9.1
23127419,Tran Van Hieu,8.3,9.8,7.7,9
23127550,Hoang Thi Thuy,9.2,8,7.8,8.4
23127283,Le Van Huy,8.5,8.9,6.6,8.4
23127929,Nguyen Thi Ha,9.1,9.3,6.9,8.8
23127551,Pham Van Long,7.5,9.8,6.6,8.5
