Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127392,Le Van Minh,9.7,6.5,9.6,8.1
20127621,Nguyen Thi Thao,6.5,8.4,9.8,8
20127963,Trinh Duy Khanh,7.3,8.5,7.1,7.9
20127367,Ngo Thanh Nhan,6.8,6.5,9.9,7.2
20127688,Huynh Van Hung,7.1,6.6,6.6,6.8
20127975,Ho Van Linh,8.4,7.3,9.4,8
20127358,Truong Thi Kim Loan,7.6,9.1,7.8,8.4
20127649,Le Cong Trung,6.8,9.8,9.5,8.8
20127988,Vo Thi Thanh Truc,8.3,8.4,6.5,8.1
20127323,Bui Van Cuong,9.6,9.7,7.2,9.2
20127676,Phan Thi Ngoc Anh,9.8,9.2,7.1,9.1
20127947,Tran Quang Huy,9.2,7.5,6.5,7.9
20127389,Vo Thi Phuong Anh,9,8.7,8.9,8.8
20127683,Nguyen Thi Bich Ngoc,8.7,9.9,8.2,9.2
20127925,Pham Van Khanh,6.5,7.1,9.2,7.2
20127313,Do Thi Thuy Linh,8.4,9.2,8,8.7
20127617,Luu Van Anh,6.6,8.2,8.4,7.7
20127935,Dinh Thi Hong,8.1,6.8,8,7.4
20127349,Nguyen Van Hieu,9.5,8.4,7.2,8.6
20127658,Le Thi Kim Anh,8.2,8.9,7.7,8.5
20127953,Tran Van Dung,9.4,10,7.2,9.3
20127374,Hoang Thi Thanh Huyen,8.7,7.1,8.6,7.9
20127692,Trinh Van Thanh,8.4,7.6,9.3,8.1
20127917,Ngo Thi Thu Ha,6.6,8.7,8.6,8
20127398,Huynh Van Nam,7.7,6.8,8.3,7.3
20127632,Ho Thi Thu Trang,9.7,6.9,9.3,8.2
20127928,Truong Van Khanh,8,7.6,6.8,7.6
20127384,Le Thi Thu Huong,8.3,8.4,9.2,8.5
20127698,Vo Van Phuong,9.2,6.7,7.8,7.7
20127932,Bui Thi Thanh Thao,9.5,6.7,8.8,8
20127393,Phan Van An,7.7,7.2,7.8,7.5
20127661,Tran Thi Mai Anh,6.5,9.3,8,8.2
20127946,Vo Van Hoa,6.8,7.6,8,7.4
20127399,Nguyen Thi Kim Anh,7.4,9,7.6,8.2
20127628,Pham Van Hoang,7,6.6,8.1,7
20127956,Do Thi Mai Anh,7.8,8.8,9.3,8.5
20127342,Luu Van Tuan,9.6,7.4,7.6,8.2
20127673,Dinh Thi Thu Ha,8.4,9.5,8.2,8.9
20127922,Nguyen Van Khanh,8.6,8.8,8.6,8.7
20127383,Le Thi My Linh,9.8,9,8.9,9.2
20127642,Tran Van Phuong,7.5,7.8,6.7,7.5
20127984,Hoang Thi Phuong Thao,8.7,9.3,7.4,8.8
20127327,Trinh Van An,9.1,7.2,8.2,8
20127631,Ngo Thi Thu Huyen,6.7,6.9,6.8,6.8
20127976,Huynh Van Anh,7.5,8,8.6,7.9
20127346,Ho Thi Thu Huong,8.7,9.2,7.1,8.7
20127648,Truong Van Anh,7.4,6.8,6.8,7
20127944,Le Thi Mai Anh,8.1,8.7,7.6,8.3
20127361,Vo Van Hoang,8.5,9.3,9.8,9.1
