Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127180,Le Thi Hong,9.1,7.7,7.7,8.2
21127561,Tran Van Huy,7.4,8.7,6.6,7.9
21127877,Hoang Thi Thu Trang,6.9,9.4,7.7,8.3
21127712,Trinh Van Anh,6.6,8.8,9.6,8.2
21127564,Ngo Thi Thu Thao,9.3,7.8,8.5,8.4
21127851,Huynh Van Huy,8.9,6.9,9.6,8
21127399,Ho Thi Thu Ha,7.9,8.7,7.9,8.3
21127166,Truong Van Hieu,7.9,9.3,7.4,8.5
21127829,Le Thi Bich Ngoc,9.8,9.4,10,9.6
21127339,Vo Van Hieu,8.6,7.5,9,8.1
21127888,Bui Thi Thuy Linh,7.1,7.2,9,7.5
21127121,Phan Van Nam,8.1,7.1,8.5,7.7
21127366,Tran Thi Thu Huong,7.2,8.1,8.4,7.8
21127269,Vo Van Trung,9.4,9.8,8.4,9.4
21127548,Nguyen Thi Thu Hang,7.4,7.2,7.8,7.4
21127795,Pham Van Nam,7.2,8.9,9,8.3
21127467,Do Thi Lan,7.7,6.8,8.7,7.4
21127652,Luu Van Anh,6.9,7.1,9.2,7.4
21127218,Dinh Thi Kim Anh,7.3,8.3,7.7,7.9
21127254,Nguyen Van Anh,6.7,7.2,9.5,7.4
21127839,Le Thi Hong,7,7.6,8.6,7.6
21127153,Tran Van Huy,8.7,7.8,9.8,8.4
21127524,Hoang Thi Thu Trang,7.6,9.4,7.4,8.5
21127947,Trinh Van Anh,9.5,8.4,9,8.9
21127393,Ngo Thi Thu Thao,9.5,9.6,7.2,9.2
21127769,Huynh Van Huy,9.3,9,9.6,9.2
21127627,Ho Thi Thu Ha,7.4,6.9,9,7.4
21127896,Truong Van Hieu,9.9,7.4,9.2,8.5
21127294,Le Thi Bich Ngoc,8.6,9.5,7.8,8.9
21127921,Vo Van Hieu,9.2,6.8,8.6,7.9
21127273,Bui Thi Thuy Linh,7,8.1,9.3,7.9
21127129,Phan Van Nam,9.5,8.4,8.3,8.8
21127643,Tran Thi Thu Huong,7.5,9,8,8.3
21127614,Vo Van Trung,9.9,8.9,7.2,9
21127682,Nguyen Thi Thu Hang,9.6,8.7,8.5,9
21127964,Pham Van Nam,9.6,8.6,6.7,8.6
21127808,Do Thi Lan,6.8,9.5,8.7,8.5
21127847,Luu Van Anh,6.8,9.4,9.7,8.6
21127985,Dinh Thi Kim Anh,7.7,7.5,9.5,7.9
21127908,Nguyen Van Anh,7.2,9.3,9.8,8.7
21127692,Le Thi Hong,8.3,7.8,8.2,8
21127687,Tran Van Huy,6.5,8.3,10,8
21127259,Hoang Thi Thu Trang,7.1,8.7,7.4,7.9
21127481,Trinh Van Anh,8.3,7.9,9.5,8.3
21127823,Ngo Thi Thu Thao,8.6,8.6,8.6,8.6
21127405,Huynh Van Huy,8.7,9.3,8.1,8.9
21127581,Ho Thi Thu Ha,6.9,8.9,8.9,8.2
21127318,Truong Van Hieu,9.8,9,8.3,9.2
21127378,Le Thi Bich Ngoc,9.2,9.1,9.3,9.2
21127536,Vo Van Hieu,7.4,8.6,9.9,8.4
