Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127924,Tran Thi Bao,8.2,8.6,6.8,8.2
22127938,Hoang Van Duy,7.4,6.5,9,7.2
22127685,Le Thi Lan,9.9,9.3,9.8,9.6
22127607,Nguyen Van Minh,7.6,7.2,9.7,7.8
22127333,Pham Thi Quyen,7.1,9.5,7.1,8.3
22127695,Tran Van Tuan,8.4,7.1,8.1,7.7
22127381,Hoang Thi Yen,6.8,7.3,8.2,7.3
22127221,Le Quoc Chinh,9.6,9,8.9,9.2
22127994,Nguyen Thi Giang,9.6,7.3,7.8,8.1
22127713,Pham Van Nam,10,7.8,9.5,8.8
22127391,Tran Thi Quy,8.1,6.9,7.8,7.5
22127573,Hoang Van Sang,8,7.4,7.8,7.7
22127368,Le Thi Thanh,8.8,8.4,6.4,8.2
22127982,Nguyen Van Binh,9.6,7.6,7.3,8.2
22127947,Pham Thi Diem,7.2,9.6,8.3,8.6
22127732,Tran Van Loc,7.2,8.5,9.8,8.3
22127791,Hoang Thi Nhung,7.6,6.8,8.6,7.4
22127486,Le Quoc Gia,7.2,7.7,6.9,7.4
22127233,Nguyen Thi Linh,9.2,6.6,9.5,7.9
22127424,Pham Van Quang,9.3,9.6,8.6,9.3
22127648,Tran Thi Thao,9.2,9.3,8.4,9.1
22127817,Hoang Van Anh,9.3,9.5,8.6,9.3
22127248,Le Thi Dung,9.9,7.1,8.6,8.3
22127209,Nguyen Van Hieu,8.8,7.3,8.6,8
22127939,Pham Thi Huong,7.7,8.2,6.7,7.8
22127362,Tran Van Long,7.8,9.8,8.7,9
22127188,Hoang Thi Nga,8.4,7.3,6.5,7.5
22127452,Le Quoc Son,9.6,6.6,6.8,7.6
22127195,Nguyen Thi Trinh,8,6.9,6.4,7.2
22127736,Pham Van An,6.6,7.5,8.6,7.4
22127292,Tran Thi Dao,6.7,9.9,8.8,8.7
22127785,Hoang Van Hieu,8.4,7.7,8.8,8.1
22127526,Le Thi Lan,6.9,9.5,8,8.4
22127336,Nguyen Van Nam,8.6,9.9,6.5,8.9
22127260,Pham Thi Quyen,8.7,6.7,10,7.9
22127919,Tran Van Thuan,9.9,8.7,7.5,8.9
22127826,Hoang Thi Uyen,8,7.8,9.6,8.2
22127307,Le Quoc Anh,8.7,8.7,8.4,8.7
22127239,Nguyen Thi Dao,7.5,6.4,8.3,7.1
22127959,Pham Van Hieu,7.2,9.6,9.1,8.7
22127928,Tran Thi Lan,8.2,9.6,7.1,8.7
22127284,Hoang Van Minh,7.1,8.6,7.3,7.9
22127418,Le Thi Phuong,8,8.6,7.7,8.2
22127542,Nguyen Van Thanh,6.9,7.6,8.3,7.5
22127411,Pham Thi Trang,6.8,8.7,8.1,8
22127169,Tran Van Binh,7.9,8.4,9.8,8.5
22127206,Hoang Thi Ha,7.4,7,7.8,7.3
22127699,Le Quoc Hung,7.6,9.4,7.7,8.5
22127566,Nguyen Thi Lan,6.6,8.6,7.8,7.8
22127154,Pham Van Minh,8,8,7.2,7.9
