Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21125001,Phan Thi Kim Chi,,,,
21125002,Do Thanh Tung,,,,
21125003,Bui Thi Ha,,,,
21125004,Dao Thi Thu Huong,,,,
21125005,Dang Van Hoang,,,,
21125006,Ngo Minh Anh,,,,
21125007,Tran Thi Thanh,,,,
21125008,Duong Thi Linh,,,,
21125009,Bui Van Hung,,,,
21125010,Dang Thi Bich Thuy,,,,
21125011,Duong Thi Hong Nhung,,,,
21125012,Pham Van Minh,,,,
21125013,Pham Thi Kim Ngan,,,,
21125014,Phan Thi Thanh Mai,,,,
21125015,Dang Minh Hai,,,,
21125016,Dang Thi Bich Ngoc,,,,
21125017,Bui Minh Tan,,,,
21125018,Do Minh Tung,,,,
21125019,Le Minh Khanh,,,,
21125020,Tran Thi Bich Ngoc,,,,
21125021,Hoang Quoc Anh,,,,
21125022,Trinh Minh Anh,,,,
21125023,Dang Minh Duc,,,,
21125024,Trinh Thi Thuy Dung,,,,
21125025,Ngo Minh Tuan,,,,
21125026,Trinh Van Son,,,,
21125027,Pham Quoc Dat,,,,
21125028,Hoang Thi Thanh Thao,,,,
21125029,Vu Thi Thanh Ha,,,,
21125030,Pham Thi Hien,,,,
21125031,Do Thi My Linh,,,,
21125032,Duong Thi Thanh Huong,,,,
21125033,Trinh Thi Ngoc Ha,,,,
21125034,Ly Thanh Tung,,,,
21125035,Pham Van Long,,,,
21125036,Trinh Thanh Tam,,,,
21125037,Ngo Thi Ngoc Anh,,,,
21125038,Trinh Thi Thanh Ha,,,,
21125039,Bui Thi Lan Anh,,,,
21125040,Phan Van Thanh,,,,
