Student ID,Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127001,Bui Thi Kim Thanh,,,,
23127002,Dang Minh Tam,,,,
23127003,Le Thi Thuy Trang,,,,
23127004,Dao Thanh Hieu,,,,
23127005,Ngo Thi Thu Hien,,,,
23127006,Ly Thi Ngoc Tram,,,,
23127007,Trinh Van Minh,,,,
23127008,Duong Thanh Tung,,,,
23127009,Tran Thi Thanh Thao,,,,
23127010,Ngo Thi Thu Huong,,,,
23127011,Do Thi Hoa,,,,
23127012,Phan Van Hoa,,,,
23127013,Do Thi Thuy,,,,
23127014,Pham Van Hai,,,,
23127015,Bui Thi Hanh,,,,
23127016,Bui Minh Hieu,,,,
23127017,Nguyen Thi Hien,,,,
23127018,Ngo Thi Loan,,,,
23127019,Bui Thi Hong Ngoc,,,,
23127020,Trinh Xuan Truong,,,,
23127021,Le Thi Thuy Linh,,,,
23127022,Tran Thanh Tung,,,,
23127023,Do Minh Hoa,,,,
23127024,Dao Thi Thanh Huong,,,,
23127025,Vu Huu Nam,,,,
23127026,Dang Thi Thanh Truc,,,,
23127027,Le Thanh Nam,,,,
23127028,Dang Trung Kien,,,,
23127029,Duong Thi Thanh Truc,,,,
23127030,Le Minh Anh,,,,
23127031,Do Thi Thanh Hien,,,,
23127032,Nguyen Thi Ngoc Anh,,,,
23127033,Hoang Thi Nga,,,,
23127034,Nguyen Thi Kim Ngan,,,,
23127035,Ly Minh Hieu,,,,
23127036,Duong Thi Ngoc Trinh,,,,
23127037,Le Thi Phuong,,,,
23127038,Hoang Duc Long,,,,
23127039,Pham Thi Thuy Linh,,,,
23127040,Ly Van Duc,,,,
