Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127278,Le Van Khoa,7.1,7.5,8.4,7.5
23127525,Nguyen Thi Ngoc,8.5,9.8,7.2,8.9
23127175,Pham Van Minh,7.8,8.3,9.1,8.3
23127820,Tran Thi Thao,6.9,7.6,9.9,7.7
23127695,Hoang Van Quan,7.2,7.7,8.1,7.6
23127432,Le Thi Thuy,8.1,9.3,9.5,8.9
23127459,Nguyen Van Thanh,6.5,9.5,7.4,8.2
23127364,Pham Thi Kim,9.4,8.7,8.8,9
23127958,Tran Van Thanh,7.5,7.6,7.1,7.5
23127718,Hoang Thi Mai,8.1,8.7,8.9,8.5
23127889,Le Van Nhan,9.8,9.4,6.9,9.1
23127993,Nguyen Thi Nhung,9.3,8.9,8.7,9
23127196,Pham Van Hieu,6.8,9.1,8.1,8.2
23127197,Tran Thi Huong,7,9.8,8.4,8.6
23127948,Hoang Van Hieu,9,6.6,7.6,7.6
23127359,Le Thi Bich,8.6,7.1,7.4,7.6
23127663,Nguyen Van Binh,7.7,7.8,6.7,7.6
23127731,Pham Thi Thuy,6.5,8.4,7.5,7.6
23127234,Tran Van Dung,7.6,8.7,9.1,8.4
23127981,Hoang Thi Lan,7.7,10,8,8.9
23127682,Le Van Anh,7.8,6.7,9.5,7.5
23127971,Nguyen Thi Ngoc,7.5,8.3,8.1,8
23127677,Pham Van Hung,9.1,9.8,9.1,9.5
23127710,Tran Thi Lan,8.9,8.8,6.9,8.5
23127245,Hoang Van Hung,6.7,7,7.1,6.9
23127163,Le Thi Thao,6.5,7.7,6.5,7.1
23127583,Nguyen Van Cuong,8,9.1,9.9,8.9
23127861,Pham Thi Kim,6.4,7.7,6.5,7.1
23127781,Tran Van Hiep,9.8,9.2,8.6,9.3
23127271,Hoang Thi Nhung,7.5,6.6,9.2,7.3
23127770,Le Van Phuong,8.1,7.2,9.6,7.9
23127288,Nguyen Thi Trang,7.2,8.7,8.1,8.1
23127846,Pham Van Anh,7.4,8.2,8,7.9
23127448,Tran Thi Nhung,9.3,8,9.8,8.7
23127856,Hoang Van Hoa,7,8.1,7,7.5
23127581,Le Thi Minh,7.4,9.2,8,8.4
23127631,Nguyen Van Dung,8.7,9.1,6.5,8.5
23127365,Pham Thi Bao,8.3,9.7,8.3,9
23127158,Tran Van Phong,7.7,8.7,8.4,8.3
23127825,Hoang Thi Ngoc,9.7,6.8,7.3,7.8
23127285,Le Van Khanh,8.1,10,7.8,9
23127686,Nguyen Thi Kim,7.4,7.2,9.6,7.7
23127171,Pham Van Quang,8.1,7.6,8,7.8
23127867,Tran Thi Thu,9.4,7.3,8,8.1
23127374,Hoang Van Thanh,6.9,7.7,6.6,7.3
23127819,Le Thi Phuong,8.9,7.1,8.3,7.9
23127739,Nguyen Van Tuan,7.4,7.8,9.5,8
23127555,Pham Thi Hanh,7.1,7.8,7.1,7.4
23127353,Tran Van Hieu,8.6,7.7,7.7,8
23127451,Hoang Thi My,9.8,9.8,7.5,9.4
