Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127183,Le Quoc Cuong,9.6,7.8,8.4,8.5
22127235,Nguyen Thi Ha,9.2,7.2,9.1,8.2
22127279,Pham Van Long,9,8.5,9.8,8.9
22127184,Tran Thi Nga,9.1,9,8.6,9
22127266,Hoang Van Son,8.2,9.2,7.5,8.6
22127194,Le Thi Uyen,8.1,8.6,6.8,8.1
22127174,Nguyen Van Anh,8.6,6.7,6.4,7.3
22127270,Pham Thi Dao,8.4,9.4,8.9,9
22127142,Tran Van Huy,9,8,7.9,8.3
22127287,Hoang Thi Ngoc,7.2,6.8,9.3,7.3
22127231,Le Van Quan,9.2,6.8,8,7.8
22127275,Nguyen Thi Trang,9.6,7.7,6.6,8.2
22127215,Pham Van Thinh,8.4,8.1,8.6,8.3
22127179,Tran Thi Cam,8.1,7,7.5,7.5
22127257,Hoang Van Hung,7.2,7.7,6.8,7.4
22127186,Le Thi Mai,6.5,7.1,9.8,7.3
22127161,Nguyen Van Cuong,8.8,8.5,9.7,8.8
22127258,Pham Thi Ha,8.4,9.3,7.7,8.7
22127251,Tran Van Minh,9,9.3,9.7,9.3
22127286,Hoang Thi Suong,7.8,7.4,6.5,7.4
22127230,Le Quoc Trung,7.3,7.5,9.3,7.7
22127143,Nguyen Thi Bao,7.1,8.7,8.2,8.1
22127220,Pham Van Duy,6.5,8,8.3,7.5
22127246,Tran Thi Hoa,9.5,6.9,6.9,7.8
22127227,Hoang Van Kiet,6.8,8.7,8.8,8.1
22127173,Le Thi Mai,8.7,6.7,8.8,7.7
22127232,Nguyen Van Quan,8.6,9.3,8.1,8.9
22127193,Pham Thi Thanh,8,9.4,8.3,8.8
22127147,Tran Van Vinh,8,9.4,8.1,8.7
22127153,Hoang Thi Binh,7.2,9.3,9.6,8.7
22127238,Le Quoc Dung,7.5,7.7,7.4,7.6
22127264,Nguyen Thi Hoai,7.4,8.3,9.8,8.2
22127148,Pham Van Loc,6.9,7.5,8.1,7.4
22127192,Tran Thi Ngoc,8.7,7.9,7.2,8.1
22127167,Hoang Van Son,8,9.5,8.6,8.8
22127260,Le Thi Trang,6.5,6.9,7,6.8
22127168,Nguyen Van Vinh,8.1,9.7,7.8,8.8
22127158,Pham Thi Bich,8.4,9.6,7.3,8.8
22127239,Tran Van Dinh,9.5,8.8,8.3,9
22127243,Hoang Thi Huong,8.5,9.3,7.5,8.7
22127138,Le Quoc Long,8.9,8.3,9.6,8.7
22127151,Nguyen Thi Nga,8.2,8.8,9.5,8.7
22127273,Pham Van Quyen,8.7,8.7,7.7,8.5
22127149,Tran Thi Thuy,8.9,9.9,7,9.1
22127299,Hoang Van An,9.8,8.3,8.3,8.8
22127139,Le Thi Cam,8,6.9,6.6,7.2
22127134,Nguyen Van Hieu,10,7.4,8.2,8.4
22127244,Pham Thi Huong,9.9,7.2,9.3,8.5
22127129,Tran Van Long,8.3,8.9,8,8.6
22127127,Hoang Thi Nga,9.1,7.2,8.9,8.1
