Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127172,Tran Thi Bao,7.7,9.5,8.9,8.8
22127236,Hoang Van Duy,7,6.8,9.6,7.3
22127159,Le Thi Lan,9.9,6.9,8.4,8.2
22127293,Nguyen Van Minh,9.9,9.4,8.1,9.3
22127247,Pham Thi Quyen,6.5,9.1,8.4,8.1
22127156,Tran Van Tuan,8.8,8.1,9.2,8.5
22127267,Hoang Thi Yen,7.2,7.8,9.8,7.9
22127180,Le Quoc Chinh,7.7,7.1,9.3,7.7
22127199,Nguyen Thi Giang,8,8.4,8.7,8.3
22127160,Pham Van Nam,7.2,6.5,7.3,6.9
22127290,Tran Thi Quy,8,9.3,6.6,8.4
22127261,Hoang Van Sang,9.5,9.9,9.4,9.7
22127189,Le Thi Thanh,6.5,6.9,7.1,6.8
22127187,Nguyen Van Binh,7.4,7.4,7.1,7.4
22127176,Pham Thi Diem,8.9,8,8.5,8.4
22127165,Tran Van Loc,7.3,9,8.2,8.3
22127154,Hoang Thi Nhung,9.5,6.9,6.5,7.7
22127144,Le Quoc Gia,7.1,9.1,6.8,8
22127262,Nguyen Thi Linh,7.5,7.7,7.7,7.6
22127178,Pham Van Quang,8,9.4,8.1,8.7
22127263,Tran Thi Thao,9.2,9.2,7.5,8.9
22127212,Hoang Van Anh,7.1,8.8,9.3,8.3
22127249,Le Thi Dung,9.2,6.9,8.1,7.9
22127170,Nguyen Van Hieu,7.9,9.5,7.9,8.7
22127292,Pham Thi Huong,8,9.9,6.5,8.7
22127225,Tran Van Long,10,8.3,7.8,8.8
22127177,Hoang Thi Nga,9.8,9.6,8.6,9.5
22127271,Le Quoc Son,8.4,8.4,9.8,8.6
22127171,Nguyen Thi Trinh,8.1,8.2,9.8,8.4
22127195,Pham Van An,7.6,9.8,8.4,8.8
22127217,Tran Thi Dao,9.8,7,9.6,8.4
22127221,Hoang Van Hieu,8.4,9.1,8.7,8.8
22127296,Le Thi Lan,6.6,7.9,8.5,7.6
22127298,Nguyen Van Nam,8.3,9.9,7.8,9
22127272,Pham Thi Quyen,9.6,8.5,7.1,8.6
22127282,Tran Van Thuan,6.5,9.8,9.2,8.6
22127297,Hoang Thi Uyen,7.4,6.8,6.8,7
22127164,Le Quoc Anh,7.1,6.9,9.3,7.4
22127157,Nguyen Thi Dao,6.5,6.9,7,6.8
22127145,Pham Van Hieu,7,6.4,7.7,6.8
22127269,Tran Thi Lan,9.3,9.6,7.1,9.1
22127218,Hoang Van Minh,9.3,7.5,9.9,8.5
22127190,Le Thi Phuong,8.4,7.8,7.1,7.9
22127226,Nguyen Van Thanh,6.8,9.6,9.6,8.7
22127146,Pham Thi Trang,9.2,6.9,9.7,8.1
22127237,Tran Van Binh,8.9,8.3,8.3,8.5
22127133,Hoang Thi Ha,7.9,8.4,7.8,8.1
22127136,Le Quoc Hung,6.5,7.1,8.4,7.1
22127131,Nguyen Thi Lan,9.2,7.5,9.2,8.3
22127281,Pham Van Minh,7.8,9.3,6.9,8.4
