Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127100,Nguyen Van Bao,8.5,7.7,9.8,8.3
20127433,Pham Thanh Huong,6.7,7.3,9.8,7.5
20127424,Vo Quang Hieu,6.6,7.5,7.1,7.1
20127182,Bui Thi Lan,9.2,8.3,9.7,8.8
20127857,Phan Huy Hoang,7.7,8.1,6.8,7.7
20127943,Tran Ngoc Anh,6.8,9,7.2,8
20127369,Vo Thi Mai,7.4,7.8,9.1,7.9
20127762,Nguyen Hoang Nam,9.9,8.1,6.8,8.5
20127519,Pham Thi Dieu Linh,6.4,8.6,8.9,7.9
20127710,Do Van Hieu,6.4,7.7,7.2,7.2
20127955,Luu Thi Hien,9.1,6.6,9.3,7.9
20127226,Dinh Van Hoa,6.6,8.4,6.5,7.5
20127511,Nguyen Thi Kim Anh,9.6,8.1,6.5,8.3
20127899,Le Minh Hung,7.1,7,9.3,7.4
20127814,Tran Van Phuc,8.1,7.1,10,7.9
20127552,Hoang Thi Huong,9.8,7.4,7.5,8.2
20127915,Trinh Van Hien,8,8.4,7.5,8.1
20127984,Ngo Thi Ngoc Tram,9.6,9.3,9.7,9.5
20127390,Huynh Van Minh,6.5,9.2,8.4,8.2
20127441,Ho Thi Mai,7.7,7.7,9.9,8.1
20127407,Truong Van Hung,6.5,8.7,8.1,7.9
20127651,Le Thi Ha,8.1,9,9.3,8.8
20127864,Vo Van Huy,7.5,8.1,7.9,7.9
20127447,Bui Thi Thanh Huong,8.8,9.7,7.4,9
20127341,Phan Van Trung,7.9,9,7.8,8.4
20127906,Tran Thi Kim Ngan,8.5,6.4,9.1,7.6
20127501,Vo Van Thanh,8.8,6.9,9.6,8
20127677,Nguyen Thi Thu Ha,8.1,9.8,7.4,8.8
20127980,Pham Van Son,6.7,8.8,6.8,7.8
20127327,Do Thi Bich Ngoc,7.8,9.4,6.4,8.4
20127795,Luu Van Hien,9.9,8.3,7.8,8.8
20127842,Dinh Thi Thanh Huyen,8.2,7.6,7.8,7.8
20127999,Nguyen Van Hoang,7,8.6,7.2,7.8
20127657,Le Thi Thuy Trang,8.9,6.6,9.6,7.9
20127938,Tran Van Hieu,7.8,8.3,9.2,8.3
20127618,Hoang Thi Thu Ha,7,8,6.6,7.4
20127323,Trinh Van Hung,7.1,8.8,8.1,8.1
20127403,Ngo Thi Thu Trang,8.3,7.5,6.5,7.6
20127716,Huynh Van Hieu,8.5,8.4,7.8,8.3
20127858,Ho Thi Thanh Thao,9.8,9,10,9.4
20127384,Truong Van Huy,9.7,8.7,8.5,9
20127363,Le Thi Huong,7.1,9.4,8.2,8.4
20127498,Vo Van Anh,6.8,9.5,8.1,8.4
20127494,Bui Thi Hoa,9.5,7.7,7.2,8.2
20127945,Phan Van Quan,7.1,10,8.4,8.8
20127730,Tran Thi Thanh Thao,9.3,6.9,7.9,7.9
20127650,Vo Van Minh,7.1,7.8,7.9,7.6
20127320,Nguyen Thi Thanh Huong,8.3,6.5,9.6,7.6
20127603,Pham Van Hieu,9.8,7.9,7.5,8.5
20127810,Do Thi Thu Huong,7.6,8,7.4,7.8
