Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127181,Le Thi Thuy Trang,7.6,9.1,7.7,8.4
22127191,Pham Thi Dung,9,9.6,8.9,9.3
22127198,Tran Van Hieu,7.8,7.3,8.6,7.7
22127291,Hoang Thi Mai,7.4,9.6,8.6,8.7
22127175,Le Van Phuc,8.2,9,8.7,8.7
22127140,Nguyen Thi Thu,9.6,7.7,8.3,8.4
22127210,Pham Van Vinh,7.5,7.9,7,7.6
22127233,Tran Thi Bich,6.9,9,7.7,8.1
22127245,Hoang Van Duong,6.9,6.5,9.5,7.1
22127166,Le Thi Ly,9.8,8.2,6.4,8.4
22127155,Nguyen Van Phong,9.9,9.8,9.3,9.8
22127229,Pham Thi Rang,8.3,7.6,6.8,7.7
22127196,Tran Van Tri,9.5,8,7.8,8.5
22127268,Hoang Thi Truc,7.8,7.2,6.6,7.3
22127185,Le Quoc Dinh,6.8,6.6,9.5,7.1
22127256,Nguyen Thi Lan,6.6,7.4,8.8,7.4
22127285,Pham Van Nhan,6.5,7,7.3,6.9
22127216,Tran Thi Duyen,8.9,7.2,6.4,7.6
22127152,Hoang Van Khoa,9.8,9,7.1,9
22127242,Le Thi Ngoc,8.7,8.3,7.8,8.3
22127162,Nguyen Van Tien,9.9,7.7,8.8,8.6
22127150,Pham Thi Van,9.8,7.5,9.8,8.7
22127223,Tran Van Cuong,8,8.3,7.6,8.1
22127254,Hoang Thi Ha,7.8,9.1,8.4,8.5
22127197,Le Quoc Hung,6.4,9.2,8.1,8.1
22127288,Nguyen Thi Lan,9.4,7.2,8.5,8.2
22127213,Pham Van Minh,8.7,9.2,9.2,9
22127265,Tran Thi Quyen,8.8,7.5,7.1,7.9
22127240,Hoang Van Thanh,7.8,8.6,9.9,8.5
22127219,Le Thi Xuan,9.9,9,9.9,9.4
22127283,Nguyen Van Chinh,9.8,9.9,9.8,9.9
22127289,Pham Thi Giang,9.3,6.6,9.6,8
22127255,Tran Van Hung,8,7.2,10,7.9
22127169,Hoang Thi Mai,6.5,6.6,9.9,7.1
22127211,Le Quoc Phuc,7.1,9.3,6.7,8.1
22127277,Nguyen Thi Thao,9.8,8.5,9.8,9.2
22127163,Pham Van Tri,7.4,6.6,8,7.1
22127188,Tran Thi Yen,6.7,6.8,8.5,7
22127182,Hoang Van Cuong,7.3,9.2,9,8.5
22127234,Le Thi Dung,7.3,6.8,7.9,7.1
22127141,Nguyen Van Khoi,6.5,7.7,8.8,7.5
22127278,Pham Thi Mai,9.6,9.3,8.8,9.3
22127248,Tran Van Phat,8.3,9.7,7.1,8.8
22127276,Hoang Thi Tam,6.6,9.6,8.1,8.3
22127137,Le Quoc Tuan,9.5,9,7.4,8.9
22127250,Nguyen Thi Bao,9.4,9.9,8.6,9.5
22127128,Pham Van Dung,8.3,6.6,7.4,7.3
22127132,Tran Thi Hoai,9,6.5,8.9,7.7
22127130,Hoang Van Kiet,8.8,7.2,7.5,7.8
22127274,Le Thi Mai,9,9.8,10,9.6
