Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127172,Tran Thi Bao,8.9,7.2,7.4,7.8
22127236,Hoang Van Duy,7.7,9.8,8.9,9
22127159,Le Thi Lan,7.8,6.9,8.6,7.5
22127293,Nguyen Van Minh,9,9.9,8.4,9.3
22127247,Pham Thi Quyen,8.9,7.6,9.9,8.4
22127156,Tran Van Tuan,8.6,7.7,7.7,8
22127267,Hoang Thi Yen,9.5,8.8,9.5,9.2
22127180,Le Quoc Chinh,9.3,6.7,9.6,8.1
22127199,Nguyen Thi Giang,6.8,9.6,8.7,8.5
22127160,Pham Van Nam,9.1,9.6,6.9,9
22127290,Tran Thi Quy,9,6.5,9,7.8
22127261,Hoang Van Sang,8.2,8.9,6.8,8.3
22127189,Le Thi Thanh,6.8,7.5,6.8,7.1
22127187,Nguyen Van Binh,8.4,8.3,9.1,8.5
22127176,Pham Thi Diem,6.6,6.5,7.6,6.7
22127165,Tran Van Loc,9.3,7.3,6.5,7.8
22127154,Hoang Thi Nhung,9.2,8.1,8.5,8.5
22127144,Le Quoc Gia,9.4,6.6,7.1,7.6
22127262,Nguyen Thi Linh,7.4,9.3,8.8,8.6
22127178,Pham Van Quang,9,6.7,6.9,7.5
22127263,Tran Thi Thao,8.2,9.3,7.2,8.6
22127212,Hoang Van Anh,6.5,7.8,7.8,7.4
22127249,Le Thi Dung,8.2,9.6,7.7,8.8
22127170,Nguyen Van Hieu,9.2,7.8,6.6,8.1
22127292,Pham Thi Huong,6.8,7.2,9,7.4
22127225,Tran Van Long,9.8,9.2,6.6,9
22127177,Hoang Thi Nga,8.8,9,9.5,9
22127271,Le Quoc Son,9.2,7.4,9.6,8.4
22127171,Nguyen Thi Trinh,8.9,9.3,9.7,9.2
22127195,Pham Van An,7.4,7.9,6.7,7.5
22127217,Tran Thi Dao,8.3,6.9,7.5,7.5
22127221,Hoang Van Hieu,6.9,8.8,9.1,8.2
22127296,Le Thi Lan,7.5,9.6,9.6,8.9
22127298,Nguyen Van Nam,8,8.6,7.4,8.2
22127272,Pham Thi Quyen,7.8,8.3,9.6,8.3
22127282,Tran Van Thuan,9.6,9.2,9.8,9.4
22127297,Hoang Thi Uyen,7.7,8.6,9.3,8.4
22127164,Le Quoc Anh,7.8,8.3,8.7,8.2
22127157,Nguyen Thi Dao,7.1,7.7,8.3,7.6
22127145,Pham Van Hieu,8.5,6.6,6.5,7.2
22127269,Tran Thi Lan,9.9,7.7,8.4,8.6
22127218,Hoang Van Minh,9.2,9.9,8.7,9.5
22127190,Le Thi Phuong,7.5,9,6.6,8.1
22127226,Nguyen Van Thanh,7.3,9.9,8.6,8.8
22127146,Pham Thi Trang,7.2,6.9,8.7,7.3
22127237,Tran Van Binh,6.6,7.6,8.5,7.4
22127133,Hoang Thi Ha,9.2,9.8,9.9,9.6
22127136,Le Quoc Hung,7.7,7.1,8.7,7.6
22127131,Nguyen Thi Lan,6.6,8.4,6.6,7.5
22127281,Pham Van Minh,7.1,7.1,7,7.1
