Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127180,Le Thi Hong,9,9.8,8.8,9.4
21127561,Tran Van Huy,9.8,8.4,9.2,9
21127877,Hoang Thi Thu Trang,6.7,8.1,6.8,7.4
21127712,Trinh Van Anh,6.9,6.6,9.6,7.2
21127564,Ngo Thi Thu Thao,9,8.5,7.8,8.5
21127851,Huynh Van Huy,8,6.8,9.1,7.6
21127399,Ho Thi Thu Ha,6.7,7.3,7,7
21127166,Truong Van Hieu,7.4,7.4,6.5,7.2
21127829,Le Thi Bich Ngoc,8.2,9.9,8.3,9.1
21127339,Vo Van Hieu,6.6,9.2,9.9,8.4
21127888,Bui Thi Thuy Linh,8.7,8.8,7.6,8.6
21127121,Phan Van Nam,9.4,8.3,6.5,8.4
21127366,Tran Thi Thu Huong,8.7,9.3,9.2,9.1
21127269,Vo Van Trung,9.4,8.3,10,9
21127548,Nguyen Thi Thu Hang,9,9.5,7,8.9
21127795,Pham Van Nam,6.5,9.5,8.7,8.4
21127467,Do Thi Lan,8.6,7.4,6.9,7.7
21127652,Luu Van Anh,7.5,8.6,6.8,7.9
21127218,Dinh Thi Kim Anh,8.4,6.5,6.4,7.1
21127254,Nguyen Van Anh,6.5,6.6,6.6,6.6
21127839,Le Thi Hong,7.8,9.5,8.4,8.8
21127153,Tran Van Huy,9,6.9,7.1,7.6
21127524,Hoang Thi Thu Trang,9.3,7.8,6.8,8.1
21127947,Trinh Van Anh,8.1,7.4,8.1,7.8
21127393,Ngo Thi Thu Thao,9.4,9.2,8.1,9.1
21127769,Huynh Van Huy,8.4,9.2,9.4,9
21127627,Ho Thi Thu Ha,9.5,7.3,8.9,8.3
21127896,Truong Van Hieu,8.1,6.5,9.8,7.6
21127294,Le Thi Bich Ngoc,9.4,6.8,7.3,7.8
21127921,Vo Van Hieu,6.6,7.1,9.3,7.3
21127273,Bui Thi Thuy Linh,8.9,8,9.1,8.5
21127129,Phan Van Nam,8.7,7.2,7.5,7.8
21127643,Tran Thi Thu Huong,8.3,8.6,9.2,8.6
21127614,Vo Van Trung,9.6,8.3,7.5,8.6
21127682,Nguyen Thi Thu Hang,8.4,8,7.4,8
21127964,Pham Van Nam,9.8,6.5,9.2,8
21127808,Do Thi Lan,8.3,8,6.5,7.9
21127847,Luu Van Anh,7.8,8.1,8.4,8
21127985,Dinh Thi Kim Anh,7.7,6.6,9.5,7.4
21127908,Nguyen Van Anh,7.7,9.5,6.5,8.4
21127692,Le Thi Hong,8.3,9.3,6.5,8.5
21127687,Tran Van Huy,8.1,9,7.1,8.4
21127259,Hoang Thi Thu Trang,9.3,7.4,7,8
21127481,Trinh Van Anh,7.2,10,7.2,8.6
21127823,Ngo Thi Thu Thao,7.5,7.3,7.4,7.4
21127405,Huynh Van Huy,9.8,7,6.6,7.9
21127581,Ho Thi Thu Ha,7.7,6.5,7.9,7.1
21127318,Truong Van Hieu,6.6,8.9,8.1,8
21127378,Le Thi Bich Ngoc,7.2,8.9,9.2,8.4
21127536,Vo Van Hieu,9.6,6.5,8.9,7.9
