Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127246,Tran Thi Mai,6.9,9.3,7.7,8.2
20127583,Hoang Tuan Anh,8.8,8.2,7.8,8.3
20127895,Do Thu Ha,8.8,9.3,9.1,9.1
20127236,Luu Hoang Long,10,7.4,9.2,8.6
20127542,Dinh Thi Ngoc,9.7,7.7,8.7,8.5
20127827,Nguyen Duc Quan,6.9,7.9,6.5,7.3
20127259,Le Minh Tuan,9.6,9.5,8.8,9.4
20127531,Tran Thi Nga,6.8,10,9.5,8.8
20127812,Hoang Minh Quan,9.8,9.2,7.8,9.2
20127273,Trinh Thi Thu Trang,8.3,8.4,8.7,8.4
20127594,Ngo Duc An,8.7,9.2,9.7,9.1
20127861,Huynh Thi My,8.7,8.6,9.6,8.8
20127297,Ho Van Khanh,6.4,9.2,9.2,8.3
20127572,Truong Van Thanh,6.8,7.2,8.5,7.3
20127831,Le Thi Thanh Tam,8.3,7.6,9.7,8.2
20127268,Vo Van An,6.9,8.6,6.8,7.7
20127526,Bui Thi Lan Anh,7.5,7.5,9.9,7.9
20127819,Phan Van Hieu,7.4,6.8,8.1,7.2
20127294,Tran Thi My Linh,7.2,6.7,7.4,7
20127511,Vo Van Quan,10,9,8.4,9.2
20127876,Nguyen Thi Thanh Thao,7.8,9.3,8.7,8.7
20127241,Pham Van Tuan,6.5,8.3,9.7,7.9
20127538,Do Thi Phuong Thao,7.2,9.7,8.4,8.7
20127885,Luu Van Minh,6.7,8.5,6.5,7.6
20127289,Dinh Thi Lan Anh,9.3,9.6,7.2,9.1
20127562,Nguyen Van Anh,9.7,8.5,9,9
20127841,Le Thi Ngoc Anh,7.1,7.2,9.3,7.5
20127281,Tran Van Long,7.9,7.3,7.3,7.5
20127577,Hoang Thi Thu Hang,6.8,8.4,8.5,7.9
20127846,Trinh Van Hieu,6.6,9.1,9.4,8.3
20127279,Ngo Thi Thu Hang,8.5,9.7,9.9,9.3
20127564,Huynh Van Thanh,7.5,8.6,7.8,8.1
20127859,Ho Thi Bich Ngoc,10,9.1,6.9,9
20127288,Truong Van Anh,8.4,8.4,8.4,8.4
20127547,Le Thi Bich Ngoc,10,7.5,8.4,8.5
20127848,Vo Van Hieu,6.9,8.3,8.9,7.9
20127238,Bui Thi Thuy Linh,7.8,7.6,6.5,7.5
20127568,Phan Van Nam,9.6,9.8,6.6,9.2
20127854,Tran Thi Thu Huong,6.7,9.3,9.6,8.5
20127269,Vo Van Trung,6.7,6.6,9.2,7.1
20127573,Nguyen Thi Thu Hang,8.3,7.4,9,8
20127821,Pham Van Nam,7,8,7.4,7.6
20127272,Do Thi Lan,7.2,8.4,9.9,8.2
20127558,Luu Van Anh,7.5,8.9,7.9,8.3
20127867,Dinh Thi Kim Anh,7,6.4,7.5,6.8
20127229,Nguyen Van Anh,7.4,8,8.3,7.8
20127536,Le Thi Hong,9.5,6.6,7.8,7.8
20127816,Tran Van Huy,7.3,7.5,9.9,7.8
20127262,Hoang Thi Thu Trang,7.8,7.6,8.1,7.8
20127582,Trinh Van Anh,7.3,8.1,6.6,7.6
