StudentID, Name, Gender, Birthday, SocialID, Main Class,Password
21125001,Phan Thi Kim Chi,Female,3/1/2003,10694908,21APCS02,12345678
21125002,Do Thanh Tung,Male,15/05/2003,14826844,21APCS01,12345678
21125003,Bui Thi Ha,Female,28/09/2003,10304055,21APCS02,12345678
21125004,Dao Thi Thu Huong,Female,10/2/2003,10008522,21APCS01,12345678
21125005,Dang Van Hoang,Male,24/06/2003,19580600,21APCS02,12345678
21125006,Ngo Minh Anh,Male,7/10/2003,10680609,21APCS02,12345678
21125007,Tran Thi Thanh,Female,18/02/2003,14660808,21APCS02,12345678
21125008,Duong Thi Linh,Female,3/6/2003,15542642,21APCS02,12345678
21125009,Bui Van Hung,Male,16/10/2003,10048823,21APCS02,12345678
21125010,Dang Thi Bich Thuy,Female,28/02/2003,13208756,21APCS01,12345678
21125011,Duong Thi Hong Nhung,Female,12/6/2003,15638426,21APCS02,12345678
21125012,Pham Van Minh,Male,24/10/2003,13496050,21APCS01,12345678
21125013,Pham Thi Kim Ngan,Female,5/3/2003,16050922,21APCS02,12345678
21125014,Phan Thi Thanh Mai,Female,19/07/2003,14406805,21APCS02,12345678
21125015,Dang Minh Hai,Male,30/11/2003,11004650,21APCS02,12345678
21125016,Dang Thi Bich Ngoc,Female,12/5/2003,11050899,21APCS01,12345678
21125017,Bui Minh Tan,Male,23/09/2003,18006755,21APCS02,12345678
21125018,Do Minh Tung,Male,6/1/2003,10004002,21APCS01,12345678
21125019,Le Minh Khanh,Male,20/05/2003,16206406,21APCS01,12345678
21125020,Tran Thi Bich Ngoc,Female,1/10/2003,14402020,21APCS01,12345678
21125021,Hoang Quoc Anh,Male,13/02/2003,10506668,21APCS02,12345678
21125022,Trinh Minh Anh,Male,28/06/2003,10805606,21APCS01,12345678
21125023,Dang Minh Duc,Male,10/10/2003,10624006,21APCS01,12345678
21125024,Trinh Thi Thuy Dung,Female,21/02/2003,10405552,21APCS01,12345678
21125025,Ngo Minh Tuan,Male,6/6/2003,12256275,21APCS01,12345678
21125026,Trinh Van Son,Male,19/10/2003,12090467,21APCS01,12345678
21125027,Pham Quoc Dat,Male,1/3/2003,18905064,21APCS02,12345678
21125028,Hoang Thi Thanh Thao,Female,15/07/2003,10068667,21APCS02,12345678
21125029,Vu Thi Thanh Ha,Female,28/11/2003,14400008,21APCS01,12345678
21125030,Pham Thi Hien,Female,9/5/2003,12229840,21APCS01,12345678
21125031,Do Thi My Linh,Female,20/09/2003,10085094,21APCS02,12345678
21125032,Duong Thi Thanh Huong,Female,2/1/2003,12685624,21APCS01,12345678
21125033,Trinh Thi Ngoc Ha,Female,14/05/2003,16025801,21APCS01,12345678
21125034,Ly Thanh Tung,Male,27/09/2003,15520282,21APCS02,12345678
21125035,Pham Van Long,Male,9/2/2003,12250560,21APCS02,12345678
21125036,Trinh Thanh Tam,Male,23/06/2003,13005270,21APCS01,12345678
21125037,Ngo Thi Ngoc Anh,Female,5/10/2003,18960975,21APCS01,12345678
21125038,Trinh Thi Thanh Ha,Female,16/02/2003,19685728,21APCS02,12345678
21125039,Bui Thi Lan Anh,Female,3/6/2003,10884044,21APCS02,12345678
21125040,Phan Van Thanh,Male,17/10/2003,18280529,21APCS01,12345678
21127001,Le Dinh Tung,Male,28/02/2003,14425007,21CLC01,12345678
21127002,Do Thi Thanh Huyen,Female,12/6/2003,10859020,21CLC02,12345678
21127003,Trinh Thi Thuy Linh,Female,24/10/2003,10505742,21CLC01,12345678
21127004,Tran Minh Hieu,Male,5/3/2003,19805529,21CLC02,12345678
21127005,Duong Thi Kim Anh,Female,19/07/2003,18566428,21CLC01,12345678
21127006,Trinh Minh Tuan,Male,30/11/2003,17536021,21CLC02,12345678
21127007,Dao Minh Hoa,Male,12/5/2003,18174140,21CLC02,12345678
21127008,Hoang Minh Hieu,Male,23/09/2003,10861174,21CLC01,12345678
21127009,Pham Minh Chinh,Male,6/1/2003,16806605,21CLC01,12345678
21127010,Ngo Thi Thuy,Female,20/05/2003,12020715,21CLC02,12345678
21127011,Vu Thanh Tam,Male,1/10/2003,12048829,21CLC01,12345678
21127012,Dao Van Anh,Male,13/02/2003,12206603,21CLC01,12345678
21127013,Phan Thi Thanh,Female,28/06/2003,17000665,21CLC02,12345678
21127014,Pham Minh Anh,Male,10/10/2003,14904446,21CLC01,12345678
21127015,Vu Thanh Tung,Male,21/02/2003,10088465,21CLC02,12345678
21127016,Dang Thi Thanh Huyen,Female,6/6/2003,18994014,21CLC02,12345678
21127017,Hoang Minh Tan,Male,19/10/2003,15206358,21CLC01,12345678
21127018,Tran Huu Tuan,Male,1/3/2003,10043672,21CLC01,12345678
21127019,Tran Thi Thanh Nga,Female,15/07/2003,14454300,21CLC01,12345678
21127020,Bui Minh Tam,Male,28/11/2003,10140005,21CLC01,12345678
21127021,Phan Thi Kim Ngan,Female,9/5/2003,14820959,21CLC02,12345678
21127022,Duong Van Hai,Male,20/09/2003,12052663,21CLC01,12345678
21127023,Bui The Anh,Male,2/1/2003,16036688,21CLC02,12345678
21127024,Phan Thi Thanh Huyen,Female,14/05/2003,10082432,21CLC02,12345678
21127025,Ly Thi Thanh Huong,Female,27/09/2003,10888360,21CLC01,12345678
21127026,Dang Thanh Tu,Male,9/2/2003,12158405,21CLC02,12345678
21127027,Ngo Duc Anh,Male,23/06/2003,11708455,21CLC02,12345678
21127028,Vu Quoc Khanh,Male,5/10/2003,12000054,21CLC02,12345678
21127029,Ngo Van Anh,Male,16/02/2003,14666600,21CLC01,12345678
21127030,Do Van Tuan,Male,3/6/2003,11008450,21CLC02,12345678
21127031,Duong Thi Lan,Female,17/10/2003,16130225,21CLC01,12345678
21127032,Bui Thanh Tung,Male,28/02/2003,16055459,21CLC02,12345678
21127033,Dao Minh Quan,Male,12/6/2003,12740007,21CLC01,12345678
21127034,Dang Van Minh,Male,24/10/2003,16200148,21CLC01,12345678
21127035,Dang Thi Thao,Female,5/3/2003,10853050,21CLC01,12345678
21127036,Le Thi Thanh Mai,Female,19/07/2003,17606828,21CLC01,12345678
21127037,Tran Thi Kim Anh,Female,30/11/2003,10000846,21CLC02,12345678
21127038,Duong Thanh Nam,Male,12/5/2003,12748030,21CLC02,12345678
21127039,Dao Huu Tri,Male,23/09/2003,18462516,21CLC02,12345678
21127040,Nguyen Thi Ngoc Tram,Female,6/1/2003,18960234,21CLC02,12345678
22125001,Trinh Thi Mai,Female,1/3/2004,15166808,22APCS02,12345678
22125002,Le Thanh Long,Male,15/07/2004,10003262,22APCS01,12345678
22125003,Phan Thanh Hai,Male,28/11/2004,12012480,22APCS01,12345678
22125004,Ngo Thi Kim Anh,Female,9/5/2004,12003000,22APCS02,12345678
22125005,Dao Thanh Long,Male,20/09/2004,15891340,22APCS01,12345678
22125006,Tran Van Hoa,Male,4/1/2004,15066055,22APCS01,12345678
22125007,Phan Van Tam,Male,17/05/2004,10064842,22APCS01,12345678
22125008,Ngo Thi Kim Oanh,Female,30/09/2004,14063502,22APCS02,12345678
22125009,Hoang Thi Thuy,Female,12/2/2004,12006128,22APCS02,12345678
22125010,Bui Thanh Hoa,Male,26/06/2004,15308009,22APCS01,12345678
22125011,Le Thi Phuong Thao,Female,9/10/2004,10650006,22APCS02,12345678
22125012,Duong Van Minh,Male,21/02/2004,18842869,22APCS01,12345678
22125013,Hoang Van Thanh,Male,7/6/2004,16610040,22APCS01,12345678
22125014,Vu Thi Thanh Xuan,Female,20/10/2004,12180084,22APCS01,12345678
22125015,Hoang Van Hoa,Male,2/3/2004,12688570,22APCS02,12345678
22125016,Tran Quang Hai,Male,16/07/2004,18096400,22APCS02,12345678
22125017,Le Minh Tuan,Male,29/11/2004,15401444,22APCS02,12345678
22125018,Ly Thi Kim Thoa,Female,10/5/2004,12446028,22APCS02,12345678
22125019,Phan Huu Hai,Male,21/09/2004,12475041,22APCS01,12345678
22125020,Hoang Thi Thu Huong,Female,5/1/2004,16694007,22APCS01,12345678
22125021,Trinh Van Quan,Male,18/05/2004,18220002,22APCS02,12345678
22125022,Nguyen Van Duc,Male,1/10/2004,16628708,22APCS02,12345678
22125023,Ngo Van Dat,Male,13/02/2004,10583381,22APCS02,12345678
22125024,Bui Quoc Bao,Male,27/06/2004,10706086,22APCS01,12345678
22125025,Nguyen Thanh Tam,Male,10/10/2004,10965303,22APCS02,12345678
22125026,Dao Thi Thanh Thuy,Female,22/02/2004,19068642,22APCS01,12345678
22125027,Vu Thanh Tuan,Male,6/6/2004,14646045,22APCS02,12345678
22125028,Vu Thi Dieu,Female,19/10/2004,10702024,22APCS01,12345678
22125029,Do Thi Cam Tu,Female,3/3/2004,10989028,22APCS01,12345678
22125030,Nguyen Hai Dang,Male,17/07/2004,15200803,22APCS02,12345678
22125031,Dao Thi Thanh Tam,Female,30/11/2004,12483664,22APCS02,12345678
22125032,Dang Thi Thuy Dung,Female,11/5/2004,12600503,22APCS02,12345678
22125033,Ly Thi Thanh,Female,22/09/2004,16097462,22APCS02,12345678
22125034,Phan Thi Thu Thuy,Female,6/1/2004,10457225,22APCS01,12345678
22125035,Do Thi Thu Trang,Female,19/05/2004,16347202,22APCS01,12345678
22125036,Dang Van Hai,Male,2/10/2004,11609846,22APCS02,12345678
22125037,Tran Thi Thu,Female,14/02/2004,12058404,22APCS01,12345678
22125038,Pham Minh Tuan,Male,28/06/2004,18620002,22APCS01,12345678
22125039,Dang Thi Mai,Female,11/10/2004,10730400,22APCS01,12345678
22125040,Vu Thi Mai,Female,23/02/2004,19408825,22APCS02,12345678
22127001,Trinh Thi Loan,Female,7/6/2004,10610989,22CLC01,12345678
22127002,Do Van Hung,Male,20/10/2004,14900048,22CLC02,12345678
22127003,Trinh Thi Kim Ngoc,Female,4/3/2004,11048805,22CLC02,12345678
22127004,Pham Thi Thanh Thao,Female,18/07/2004,16605250,22CLC01,12345678
22127005,Duong Thi Thanh Huong,Female,1/12/2004,14177050,22CLC01,12345678
22127006,Duong Van Tuan,Male,12/5/2004,10502458,22CLC01,12345678
22127007,Nguyen Thi Ngoc Han,Female,23/09/2004,12006622,22CLC02,12345678
22127008,Ly Thi Kim Oanh,Female,7/1/2004,18400394,22CLC02,12345678
22127009,Ly Thanh Tam,Male,20/05/2004,19522346,22CLC01,12345678
22127010,Phan Thi Trang,Female,3/10/2004,16102470,22CLC02,12345678
22127011,Nguyen Van An,Male,15/02/2004,18802474,22CLC02,12345678
22127012,Do Thi Huong Giang,Female,29/06/2004,12984204,22CLC01,12345678
22127013,Bui Thi Thanh Thao,Female,12/10/2004,16524482,22CLC02,12345678
22127014,Do Van Hoa,Male,24/02/2004,10062702,22CLC01,12345678
22127015,Hoang Thi Thu Ha,Female,7/6/2004,12660049,22CLC02,12345678
22127016,Hoang Thi Lan,Female,21/10/2004,12074020,22CLC02,12345678
22127017,Tran Thi Thu Thao,Female,5/3/2004,15250578,22CLC02,12345678
22127018,Pham Quang Huy,Male,19/07/2004,10024904,22CLC01,12345678
