Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127889,Nguyen Thi Thanh Huong,8.3,7.2,7.4,7.6
21127210,Pham Van Hieu,9.9,9.2,9.5,9.5
21127365,Do Thi Thu Huong,7.8,7.7,8.9,7.9
21127743,Luu Van Hoang,7.5,9.2,9.5,8.7
21127894,Dinh Thi Ngoc Anh,8.3,8.8,7.4,8.4
21127872,Nguyen Van Hieu,9.6,10,7.1,9.4
21127438,Le Thi Thuy Trang,7.7,9.2,7.2,8.4
21127415,Tran Van Hieu,7.8,9,9.9,8.8
21127538,Hoang Thi Thu Ha,8,9,7.4,8.4
21127715,Trinh Van Hung,9,9.5,9.5,9.3
21127567,Ngo Thi Thu Trang,8.8,6.5,6.7,7.3
21127187,Huynh Van Hieu,8.7,8,6.5,8
21127873,Ho Thi Thanh Thao,6.5,9.7,7.4,8.2
21127293,Truong Van Huy,6.9,8.7,9.5,8.2
21127868,Le Thi Huong,6.8,6.4,7.1,6.7
21127270,Vo Van Anh,7.5,6.8,8.8,7.4
21127276,Bui Thi Hoa,8.7,7.9,7.8,8.2
21127807,Phan Van Quan,6.9,7.4,8.6,7.4
21127975,Tran Thi Thanh Thao,9.8,8.9,9.5,9.3
21127325,Vo Van Minh,7,7.6,9.2,7.7
21127879,Nguyen Thi Thanh Huong,6.6,7.8,7.9,7.4
21127241,Pham Van Hieu,6.5,8.6,7.6,7.7
21127987,Do Thi Thu Huong,9.3,8.6,7.7,8.7
21127499,Luu Van Hoang,9,8.6,9.9,8.9
21127463,Dinh Thi Ngoc Anh,9.5,8.1,8.9,8.7
21127494,Nguyen Van Hieu,8.6,9.3,9.9,9.2
21127389,Le Thi Thuy Trang,6.5,6.5,6.9,6.6
21127556,Tran Van Hieu,9.6,9.2,9.4,9.4
21127562,Hoang Thi Thu Ha,6.6,8.1,7.9,7.6
21127860,Trinh Van Hung,6.9,8.7,9.2,8.2
21127812,Ngo Thi Thu Trang,7.7,9.4,7.2,8.5
21127710,Huynh Van Hieu,8.6,6.7,7.1,7.4
21127970,Ho Thi Thanh Thao,9.3,8.3,7.1,8.4
21127830,Truong Van Huy,7.5,7.5,9.8,7.9
21127178,Le Thi Huong,10,7.3,7,8.2
21127225,Vo Van Anh,8.1,9.3,7.8,8.7
21127120,Bui Thi Hoa,9.1,9.7,8.2,9.2
21127189,Phan Van Quan,9.1,8.5,9.9,8.9
21127206,Tran Thi Thanh Thao,8.7,9.3,8.1,8.9
21127490,Vo Van Minh,7.5,9.5,9.1,8.8
21127529,Nguyen Thi Thanh Huong,7.2,6.6,6.4,6.8
21127836,Pham Van Hieu,9.2,6.7,9.9,8.1
21127278,Do Thi Thu Huong,7.8,8.5,9.3,8.4
21127130,Luu Van Hoang,7.4,6.9,7.4,7.1
21127190,Dinh Thi Ngoc Anh,6.9,7.2,8.5,7.3
21127803,Nguyen Van Hieu,8.9,7.3,6.6,7.7
21127283,Le Thi Thuy Trang,9.8,9.3,7.5,9.2
21127412,Tran Van Hieu,8.4,9,9.6,8.9
21127793,Hoang Thi Thu Ha,8.9,8.5,8.2,8.6
21127156,Trinh Van Hung,7.1,8.3,8,7.9
