Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127180,Le Thi Hong,10,9.8,9.2,9.8
21127561,Tran Van Huy,6.7,9.6,7.8,8.3
21127877,Hoang Thi Thu Trang,9.3,9.6,8,9.2
21127712,Trinh Van Anh,9.6,6.5,9.8,8.1
21127564,Ngo Thi Thu Thao,7.2,6.6,8.7,7.1
21127851,Huynh Van Huy,6.5,7.8,7.2,7.3
21127399,Ho Thi Thu Ha,8.4,8.9,7.4,8.5
21127166,Truong Van Hieu,7.1,8,8.3,7.8
21127829,Le Thi Bich Ngoc,6.5,7.2,9.5,7.4
21127339,Vo Van Hieu,7.8,9,9.6,8.7
21127888,Bui Thi Thuy Linh,6.8,9.8,7.6,8.4
21127121,Phan Van Nam,7.3,6.7,6.6,6.9
21127366,Tran Thi Thu Huong,8.6,9.6,8.7,9.1
21127269,Vo Van Trung,9,8.1,9.2,8.6
21127548,Nguyen Thi Thu Hang,7.3,9.2,6.7,8.2
21127795,Pham Van Nam,7.1,9.9,9.6,8.9
21127467,Do Thi Lan,8.9,9,9.9,9.1
21127652,Luu Van Anh,9.8,7.5,7.7,8.3
21127218,Dinh Thi Kim Anh,7.1,9.2,9.5,8.5
21127254,Nguyen Van Anh,9.1,6.9,10,8.2
21127839,Le Thi Hong,8.1,6.5,6.5,7
21127153,Tran Van Huy,9.2,9.5,7.9,9.1
21127524,Hoang Thi Thu Trang,6.6,8.9,8.1,8
21127947,Trinh Van Anh,6.7,8.2,6.9,7.5
21127393,Ngo Thi Thu Thao,9.2,7.8,7.6,8.2
21127769,Huynh Van Huy,8.3,9.3,8.7,8.9
21127627,Ho Thi Thu Ha,8.2,9.1,7.2,8.5
21127896,Truong Van Hieu,8.8,8,7.5,8.2
21127294,Le Thi Bich Ngoc,8.1,8.7,7.3,8.3
21127921,Vo Van Hieu,8.6,8.3,8.1,8.4
21127273,Bui Thi Thuy Linh,7.9,6.5,7.5,7.1
21127129,Phan Van Nam,8.9,9,8.6,8.9
21127643,Tran Thi Thu Huong,6.9,7.7,7.2,7.4
21127614,Vo Van Trung,8.5,7.6,7.4,7.9
21127682,Nguyen Thi Thu Hang,9.6,7.8,8.1,8.4
21127964,Pham Van Nam,6.9,7.8,9.1,7.7
21127808,Do Thi Lan,9.7,9.3,8,9.2
21127847,Luu Van Anh,6.6,9.2,7.2,8
21127985,Dinh Thi Kim Anh,8.1,9.8,8.6,9
21127908,Nguyen Van Anh,9,9.4,9.3,9.2
21127692,Le Thi Hong,7.3,9.8,6.8,8.5
21127687,Tran Van Huy,9.4,7.8,7.2,8.2
21127259,Hoang Thi Thu Trang,8.7,8.4,8.3,8.5
21127481,Trinh Van Anh,9.1,8.1,6.4,8.2
21127823,Ngo Thi Thu Thao,6.8,8.6,9.5,8.2
21127405,Huynh Van Huy,7.8,10,7.2,8.8
21127581,Ho Thi Thu Ha,9.2,9,8,8.9
21127318,Truong Van Hieu,9.2,8,9.9,8.7
21127378,Le Thi Bich Ngoc,7.2,7.2,7.1,7.2
21127536,Vo Van Hieu,6.6,10,7.4,8.4
