Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127100,Nguyen Van Bao,8.9,7.3,9.9,8.3
20127433,Pham Thanh Huong,7.3,10,6.7,8.6
20127424,Vo Quang Hieu,7.1,7.4,7.8,7.4
20127182,Bui Thi Lan,6.6,8.3,6.9,7.5
20127857,Phan Huy Hoang,9.5,6.8,7.7,7.9
20127943,Tran Ngoc Anh,7.3,9.5,8.4,8.6
20127369,Vo Thi Mai,6.9,9.6,8.8,8.6
20127762,Nguyen Hoang Nam,9.6,9,9.8,9.3
20127519,Pham Thi Dieu Linh,8.7,7.5,9,8.2
20127710,Do Van Hieu,9.3,8.4,6.5,8.4
20127955,Luu Thi Hien,8.3,7,9.8,7.9
20127226,Dinh Van Hoa,7.8,9.2,8.3,8.6
20127511,Nguyen Thi Kim Anh,7.9,7,7.9,7.4
20127899,Le Minh Hung,9.6,7.9,9.2,8.7
20127814,Tran Van Phuc,7.6,6.5,9.8,7.4
20127552,Hoang Thi Huong,10,6.5,7.8,7.9
20127915,Trinh Van Hien,9,9.4,6.8,8.8
20127984,Ngo Thi Ngoc Tram,7.7,8.6,6.9,8
20127390,Huynh Van Minh,8,6.9,8.9,7.6
20127441,Ho Thi Mai,8.9,7.5,6.6,7.8
20127407,Truong Van Hung,8.7,7.7,7.4,8
20127651,Le Thi Ha,9.5,9.4,7.7,9.2
20127864,Vo Van Huy,8.7,7.2,8.9,8
20127447,Bui Thi Thanh Huong,7,8.9,8.7,8.2
20127341,Phan Van Trung,6.8,8.7,8,7.9
20127906,Tran Thi Kim Ngan,7.2,9.2,6.7,8.1
20127501,Vo Van Thanh,6.6,9.9,7.2,8.4
20127677,Nguyen Thi Thu Ha,9.8,6.7,9.8,8.2
20127980,Pham Van Son,8.4,7.4,9.2,8
20127327,Do Thi Bich Ngoc,8.1,8.3,6.9,8
20127795,Luu Van Hien,8.5,8.7,6.8,8.3
20127842,Dinh Thi Thanh Huyen,6.6,7.4,7.6,7.2
20127999,Nguyen Van Hoang,8.9,6.6,9.1,7.8
20127657,Le Thi Thuy Trang,7.5,6.9,8.7,7.4
20127938,Tran Van Hieu,6.4,9,7.3,7.8
20127618,Hoang Thi Thu Ha,6.9,9.3,7.5,8.2
20127323,Trinh Van Hung,8.5,9.3,8.2,8.9
20127403,Ngo Thi Thu Trang,9,6.4,7.7,7.5
20127716,Huynh Van Hieu,6.4,7.7,9,7.5
20127858,Ho Thi Thanh Thao,7.2,7.4,9.1,7.6
20127384,Truong Van Huy,9.9,9.5,7.7,9.3
20127363,Le Thi Huong,7.7,8,9.4,8.1
20127498,Vo Van Anh,7,8.2,8.7,7.9
20127494,Bui Thi Hoa,9.5,8.7,8.7,9
20127945,Phan Van Quan,9.4,7.8,8.9,8.5
20127730,Tran Thi Thanh Thao,9.6,9.4,8.7,9.4
20127650,Vo Van Minh,7.5,8,8.1,7.9
20127320,Nguyen Thi Thanh Huong,9.3,9.5,9.3,9.4
20127603,Pham Van Hieu,7.9,6.6,6.8,7.1
20127810,Do Thi Thu Huong,6.5,9.1,7.1,7.9
