Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127100,Nguyen Van Bao,6.6,9.6,9.2,8.5
20127433,Pham Thanh Huong,9.4,9.1,7.3,8.9
20127424,Vo Quang Hieu,7.8,7.4,9.9,8
20127182,Bui Thi Lan,6.6,8,6.6,7.3
20127857,Phan Huy Hoang,9.2,9.3,8,9
20127943,Tran Ngoc Anh,6.5,9.2,9.6,8.4
20127369,Vo Thi Mai,7.8,9.3,9,8.8
20127762,Nguyen Hoang Nam,8.1,9.5,6.6,8.6
20127519,Pham Thi Dieu Linh,7.5,7,8.9,7.5
20127710,Do Van Hieu,7.5,9.6,8,8.6
20127955,Luu Thi Hien,6.6,9.9,8,8.5
20127226,Dinh Van Hoa,9.9,7.7,9.3,8.7
20127511,Nguyen Thi Kim Anh,7.1,8.6,9.8,8.3
20127899,Le Minh Hung,7.2,8.1,8.7,7.9
20127814,Tran Van Phuc,9.9,8.1,8.2,8.7
20127552,Hoang Thi Huong,7.1,7.3,9.8,7.6
20127915,Trinh Van Hien,7.8,8.6,9.9,8.5
20127984,Ngo Thi Ngoc Tram,8.7,8,8.1,8.2
20127390,Huynh Van Minh,9.1,9.2,6.7,8.8
20127441,Ho Thi Mai,9.6,7.8,8.6,8.5
20127407,Truong Van Hung,6.6,8.1,6.6,7.4
20127651,Le Thi Ha,6.8,7.8,9.1,7.7
20127864,Vo Van Huy,7.8,8.5,9.5,8.4
20127447,Bui Thi Thanh Huong,8.6,7.7,8.9,8.2
20127341,Phan Van Trung,9.5,9.6,8.1,9.3
20127906,Tran Thi Kim Ngan,9,9.6,6.6,8.9
20127501,Vo Van Thanh,9.3,7.5,7.2,8.1
20127677,Nguyen Thi Thu Ha,7,9.3,8.7,8.4
20127980,Pham Van Son,7.7,9.2,9.8,8.8
20127327,Do Thi Bich Ngoc,8.6,8.8,9.9,8.9
20127795,Luu Van Hien,6.4,6.6,7.1,6.6
20127842,Dinh Thi Thanh Huyen,9.9,9.6,8.1,9.4
20127999,Nguyen Van Hoang,7.2,9.2,6.6,8.1
20127657,Le Thi Thuy Trang,9.6,9.2,6.6,8.9
20127938,Tran Van Hieu,9.8,8.8,6.9,8.8
20127618,Hoang Thi Thu Ha,7.8,8.1,9.6,8.2
20127323,Trinh Van Hung,7.2,9,7.4,8.1
20127403,Ngo Thi Thu Trang,9.8,9.8,7.1,9.3
20127716,Huynh Van Hieu,6.6,7.6,6.8,7.1
20127858,Ho Thi Thanh Thao,7.7,8.3,6.9,7.9
20127384,Truong Van Huy,9.3,6.7,9.3,8
20127363,Le Thi Huong,8.3,9.4,7.8,8.8
20127498,Vo Van Anh,9.8,9.5,7.6,9.3
20127494,Bui Thi Hoa,7.8,8.3,6.9,7.9
20127945,Phan Van Quan,7.7,7.7,9.8,8
20127730,Tran Thi Thanh Thao,7.1,6.9,9.7,7.4
20127650,Vo Van Minh,8.9,8.6,9.3,8.8
20127320,Nguyen Thi Thanh Huong,8.6,8.6,9.3,8.7
20127603,Pham Van Hieu,7.8,7.3,8.2,7.6
20127810,Do Thi Thu Huong,8.9,9.8,9.3,9.4
