Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127952,Tran Thi Mai,9.8,9.9,9.1,9.7
20127187,Hoang Tuan Anh,9.3,8.2,7.3,8.4
20127975,Do Thu Ha,7.5,9.6,8.2,8.7
20127897,Luu Hoang Long,9.5,9.2,7.3,9
20127426,Dinh Thi Ngoc,9.8,7.2,8.9,8.3
20127436,Nguyen Duc Quan,9.8,8,8,8.6
20127771,Le Minh Tuan,9.9,9.2,8.6,9.3
20127253,Tran Thi Nga,6.8,9,9.3,8.3
20127529,Hoang Minh Quan,6.9,9.5,7,8.2
20127597,Trinh Thi Thu Trang,8.9,8.8,9.3,8.9
20127958,Ngo Duc An,6.9,9.9,8.4,8.7
20127675,Huynh Thi My,9.8,9.2,8.7,9.3
20127930,Ho Van Khanh,8,8.6,7.3,8.2
20127865,Truong Van Thanh,8.6,8.4,6.5,8.2
20127522,Le Thi Thanh Tam,9.5,8.6,9.3,9
20127961,Vo Van An,6.7,6.5,8.7,6.9
20127533,Bui Thi Lan Anh,6.4,9.2,6.8,7.9
20127734,Phan Van Hieu,9.7,8.3,9.9,9
20127660,Tran Thi My Linh,8.6,7.1,7,7.6
20127250,Vo Van Quan,9,6.7,7.1,7.5
20127645,Nguyen Thi Thanh Thao,7.5,8.7,7.1,8
20127585,Pham Van Tuan,8.9,9.6,8.1,9.1
20127310,Do Thi Phuong Thao,9.8,7.4,8.7,8.4
20127921,Luu Van Minh,8.7,6.8,6.9,7.4
20127435,Dinh Thi Lan Anh,8.6,8.8,9,8.8
20127827,Nguyen Van Anh,9.4,8,7.5,8.4
20127813,Le Thi Ngoc Anh,9.6,8.6,8.6,8.9
20127564,Tran Van Long,8.4,7,6.5,7.4
20127838,Hoang Thi Thu Hang,9.7,9.3,7.4,9.1
20127947,Trinh Van Hieu,7.7,6.7,9.6,7.5
20127925,Ngo Thi Thu Hang,7.1,8.3,9.7,8.1
20127612,Huynh Van Thanh,8.9,9.9,6.6,9
20127482,Ho Thi Bich Ngoc,8.6,9.2,9.6,9.1
20127255,Truong Van Anh,7.3,8.9,7.1,8.1
20127726,Le Thi Bich Ngoc,9.4,7.1,8.4,8.1
20127202,Vo Van Hieu,8.9,9.3,8.6,9.1
20127575,Bui Thi Thuy Linh,9,6.7,9.3,7.9
20127755,Phan Van Nam,7.8,6.9,9.1,7.6
20127541,Tran Thi Thu Huong,9.3,8.7,7.5,8.7
20127572,Vo Van Trung,7,7.5,9.1,7.6
20127286,Nguyen Thi Thu Hang,9,9.5,7.5,9
20127887,Pham Van Nam,8.5,6.5,8.1,7.4
20127693,Do Thi Lan,7.1,8.4,9.5,8.2
20127456,Luu Van Anh,9.8,7.2,8.7,8.3
20127620,Dinh Thi Kim Anh,7.1,9.9,9.3,8.9
20127490,Nguyen Van Anh,9.5,6.9,7.1,7.8
20127266,Le Thi Hong,7.4,9.7,9,8.8
20127309,Tran Van Huy,8.4,6.8,8.7,7.7
20127928,Hoang Thi Thu Trang,7.3,8.1,8.9,8
20127870,Trinh Van Anh,8.4,6.6,9.7,7.7
