Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23125001,Vu Thi Ngoc Anh,,,,
23125002,Dao Minh Hieu,,,,
23125003,Hoang Thi Kim Loan,,,,
23125004,Tran Minh Tuan,,,,
23125005,Duong Minh Anh,,,,
23125006,Bui Thi Thanh Nga,,,,
23125007,Dao Thi My,,,,
23125008,Nguyen Thi Hang,,,,
23125009,Ly Quoc Tuan,,,,
23125010,Le Thi Thu Huyen,,,,
23125011,Ly Thi Phuong Thao,,,,
23125012,Vu Van Hung,,,,
23125013,Vu Thi Ngoc Tram,,,,
23125014,Duong Minh Tam,,,,
23125015,Phan Thi Thanh Ngan,,,,
23125016,Pham Thi Thu Ha,,,,
23125017,Hoang Van Tam,,,,
23125018,Dang Thi Huong,,,,
23125019,Ngo Van Minh,,,,
23125020,Nguyen Van Hieu,,,,
23125021,Nguyen Thanh Tung,,,,
23125022,Tran Van Phuc,,,,
23125023,Phan Minh Anh,,,,
23125024,Bui Thi Minh,,,,
23125025,Dao Thi Thu Ha,,,,
23125026,Dao Thi Kim,,,,
23125027,Nguyen Thi Thu Thao,,,,
23125028,Dao Thanh Tung,,,,
23125029,Ly Thi Hong,,,,
23125030,Ngo Hai Duong,,,,
23125031,Hoang Minh Tam,,,,
23125032,Pham Thi Thu Hien,,,,
23125033,Le Thanh Tuan,,,,
23125034,Hoang Minh Quang,,,,
23125035,Do Dinh Phong,,,,
23125036,Dao Thi Thanh Thao,,,,
23125037,Ngo Thi Ngoc Hanh,,,,
23125038,Duong Thanh Hai,,,,
23125039,Ngo Thanh Tuan,,,,
23125040,Le Minh Hiep,,,,
