Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127933,Le Van Khoa,7.1,7.5,8.4,7.5
23127752,Nguyen Thi Ngoc,8.5,9.8,7.2,8.9
23127584,Pham Van Minh,7.8,8.3,9.1,8.3
23127992,Tran Thi Thao,6.9,7.6,9.9,7.7
23127188,Hoang Van Quan,7.2,7.7,8.1,7.6
23127286,Le Thi Thuy,8.1,9.3,9.5,8.9
23127961,Nguyen Van Thanh,6.5,9.5,7.4,8.2
23127667,Pham Thi Kim,9.4,8.7,8.8,9
23127571,Tran Van Thanh,7.5,7.6,7.1,7.5
23127755,Hoang Thi Mai,8.1,8.7,8.9,8.5
23127427,Le Van Nhan,9.8,9.4,6.9,9.1
23127439,Nguyen Thi Nhung,9.3,8.9,8.7,9
23127395,Pham Van Hieu,6.8,9.1,8.1,8.2
23127474,Tran Thi Huong,7,9.8,8.4,8.6
23127626,Hoang Van Hieu,9,6.6,7.6,7.6
23127531,Le Thi Bich,8.6,7.1,7.4,7.6
23127792,Nguyen Van Binh,7.7,7.8,6.7,7.6
23127875,Pham Thi Thuy,6.5,8.4,7.5,7.6
23127821,Tran Van Dung,7.6,8.7,9.1,8.4
23127592,Hoang Thi Lan,7.7,10,8,8.9
23127237,Le Van Anh,7.8,6.7,9.5,7.5
23127461,Nguyen Thi Ngoc,7.5,8.3,8.1,8
23127940,Pham Van Hung,9.1,9.8,9.1,9.5
23127897,Tran Thi Lan,8.9,8.8,6.9,8.5
23127306,Hoang Van Hung,6.7,7,7.1,6.9
23127904,Le Thi Thao,6.5,7.7,6.5,7.1
23127235,Nguyen Van Cuong,8,9.1,9.9,8.9
23127354,Pham Thi Kim,6.4,7.7,6.5,7.1
23127262,Tran Van Hiep,9.8,9.2,8.6,9.3
23127266,Hoang Thi Nhung,7.5,6.6,9.2,7.3
23127646,Le Van Phuong,8.1,7.2,9.6,7.9
23127303,Nguyen Thi Trang,7.2,8.7,8.1,8.1
23127532,Pham Van Anh,7.4,8.2,8,7.9
23127996,Tran Thi Nhung,9.3,8,9.8,8.7
23127674,Hoang Van Hoa,7,8.1,7,7.5
23127903,Le Thi Minh,7.4,9.2,8,8.4
23127452,Nguyen Van Dung,8.7,9.1,6.5,8.5
23127177,Pham Thi Bao,8.3,9.7,8.3,9
23127554,Tran Van Phong,7.7,8.7,8.4,8.3
23127643,Hoang Thi Ngoc,9.7,6.8,7.3,7.8
23127415,Le Van Khanh,8.1,10,7.8,9
23127253,Nguyen Thi Kim,7.4,7.2,9.6,7.7
23127212,Pham Van Quang,8.1,7.6,8,7.8
23127280,Tran Thi Thu,9.4,7.3,8,8.1
23127495,Hoang Van Thanh,6.9,7.7,6.6,7.3
23127858,Le Thi Phuong,8.9,7.1,8.3,7.9
23127950,Nguyen Van Tuan,7.4,7.8,9.5,8
23127514,Pham Thi Hanh,7.1,7.8,7.1,7.4
23127868,Tran Van Hieu,8.6,7.7,7.7,8
23127222,Hoang Thi My,9.8,9.8,7.5,9.4
