Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
21127180,Le Thi Hong,7.6,8.3,7.3,7.9
21127561,Tran Van Huy,7.5,7.4,8.8,7.7
21127877,Hoang Thi Thu Trang,10,8.6,9.2,9.2
21127712,Trinh Van Anh,8.7,8,8.1,8.2
21127564,Ngo Thi Thu Thao,7.8,7.6,7.5,7.6
21127851,Huynh Van Huy,9,6.8,6.6,7.5
21127399,Ho Thi Thu Ha,9.6,6.7,9.2,8.1
21127166,Truong Van Hieu,6.5,8.4,7,7.5
21127829,Le Thi Bich Ngoc,6.8,9.5,9.4,8.6
21127339,Vo Van Hieu,8.4,7.5,8.3,7.9
21127888,Bui Thi Thuy Linh,7.3,8,8,7.8
21127121,Phan Van Nam,9.8,7.2,8.4,8.3
21127366,Tran Thi Thu Huong,7.2,7.6,8.5,7.6
21127269,Vo Van Trung,10,9.8,7.1,9.4
21127548,Nguyen Thi Thu Hang,9.2,6.4,9.3,7.8
21127795,Pham Van Nam,6.8,7.3,7.1,7.1
21127467,Do Thi Lan,6.9,9.7,7.1,8.3
21127652,Luu Van Anh,7.5,8.2,8.9,8.1
21127218,Dinh Thi Kim Anh,8,6.9,9.9,7.8
21127254,Nguyen Van Anh,7.3,9,7,8.1
21127839,Le Thi Hong,6.8,8.7,7.7,7.9
21127153,Tran Van Huy,7.2,8,9.4,8
21127524,Hoang Thi Thu Trang,7.3,6.8,8.2,7.2
21127947,Trinh Van Anh,9.3,9.5,6.5,8.9
21127393,Ngo Thi Thu Thao,7.1,8.7,7.7,8
21127769,Huynh Van Huy,7.7,9.1,7.9,8.4
21127627,Ho Thi Thu Ha,7.1,6.8,8.9,7.2
21127896,Truong Van Hieu,7.2,9.3,7.6,8.3
21127294,Le Thi Bich Ngoc,8.7,8.1,9.5,8.5
21127921,Vo Van Hieu,7.5,8.7,7.8,8.1
21127273,Bui Thi Thuy Linh,7.9,8.1,6.4,7.7
21127129,Phan Van Nam,10,6.4,7.5,7.8
21127643,Tran Thi Thu Huong,9.2,6.6,8.3,7.8
21127614,Vo Van Trung,8.4,6.5,8.7,7.5
21127682,Nguyen Thi Thu Hang,8.3,6.9,6.7,7.3
21127964,Pham Van Nam,6.5,8,9.5,7.8
21127808,Do Thi Lan,7.2,7.2,8.8,7.5
21127847,Luu Van Anh,6.5,9.9,6.5,8.2
21127985,Dinh Thi Kim Anh,9.6,9.2,8,9.1
21127908,Nguyen Van Anh,6.9,9.3,7.3,8.2
21127692,Le Thi Hong,9.6,9.6,9.5,9.6
21127687,Tran Van Huy,9,8.3,6.4,8.2
21127259,Hoang Thi Thu Trang,8.8,9.9,9.5,9.5
21127481,Trinh Van Anh,7.5,8.4,7.8,8
21127823,Ngo Thi Thu Thao,9.9,8.5,8,8.9
21127405,Huynh Van Huy,6.6,7.8,8,7.4
21127581,Ho Thi Thu Ha,6.9,9.9,8.6,8.7
21127318,Truong Van Hieu,9.7,9.3,7.9,9.2
21127378,Le Thi Bich Ngoc,8.4,8,6.5,7.9
21127536,Vo Van Hieu,9,9.5,7.8,9
