Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127924,Tran Thi Bao,6.8,6.6,6.9,6.7
22127938,Hoang Van Duy,8.9,7.3,9.2,8.2
22127685,Le Thi Lan,7.8,7.2,9.6,7.8
22127607,Nguyen Van Minh,9.6,9.5,7.1,9.1
22127333,Pham Thi Quyen,7,6.9,8.7,7.2
22127695,Tran Van Tuan,9.2,9.2,9.8,9.3
22127381,Hoang Thi Yen,9,9.3,8.1,9
22127221,Le Quoc Chinh,6.9,7.1,8.4,7.2
22127994,Nguyen Thi Giang,8.1,7.1,8,7.6
22127713,Pham Van Nam,6.4,6.5,8,6.7
22127391,Tran Thi Quy,6.8,9.5,8.9,8.5
22127573,Hoang Van Sang,7.4,9,7.9,8.3
22127368,Le Thi Thanh,9.9,8.8,8.7,9.2
22127982,Nguyen Van Binh,7.2,9.7,9.6,8.8
22127947,Pham Thi Diem,9.8,8.4,7.4,8.7
22127732,Tran Van Loc,6.4,7.7,7.1,7.2
22127791,Hoang Thi Nhung,8.4,9.6,8.1,8.9
22127486,Le Quoc Gia,6.5,9.6,7.5,8.2
22127233,Nguyen Thi Linh,9.8,8,9.1,8.8
22127424,Pham Van Quang,9.5,6.7,7.6,7.8
22127648,Tran Thi Thao,7.5,8.8,6.6,8
22127817,Hoang Van Anh,9.9,8.7,7.2,8.8
22127248,Le Thi Dung,7.8,6.9,9.8,7.7
22127209,Nguyen Van Hieu,8.2,7.2,8,7.7
22127939,Pham Thi Huong,7.4,9.7,6.8,8.4
22127362,Tran Van Long,8.5,6.5,7.2,7.3
22127188,Hoang Thi Nga,9.5,9.7,8.1,9.4
22127452,Le Quoc Son,6.5,7.9,8.6,7.6
22127195,Nguyen Thi Trinh,7.2,8,8.4,7.8
22127736,Pham Van An,10,9.8,7,9.4
22127292,Tran Thi Dao,9.8,8.4,8.8,8.9
22127785,Hoang Van Hieu,6.6,9.9,8.3,8.5
22127526,Le Thi Lan,8.1,9,7.9,8.5
22127336,Nguyen Van Nam,8.7,7.4,6.6,7.7
22127260,Pham Thi Quyen,8.6,9,8.8,8.8
22127919,Tran Van Thuan,6.9,7.7,6.5,7.2
22127826,Hoang Thi Uyen,6.7,8.3,9.3,7.9
22127307,Le Quoc Anh,6.6,6.5,7.4,6.7
22127239,Nguyen Thi Dao,8.7,6.8,9.3,7.8
22127959,Pham Van Hieu,7.8,7.6,7.8,7.7
22127928,Tran Thi Lan,8.8,9.2,6.9,8.7
22127284,Hoang Van Minh,9.1,8.2,8,8.5
22127418,Le Thi Phuong,7.1,8.5,7.4,7.9
22127542,Nguyen Van Thanh,7.4,7.1,7.8,7.3
22127411,Pham Thi Trang,6.8,7.2,8.2,7.2
22127169,Tran Van Binh,8.9,8.7,6.6,8.4
22127206,Hoang Thi Ha,9.9,7.5,7,8.2
22127699,Le Quoc Hung,8,8.6,8.6,8.4
22127566,Nguyen Thi Lan,7.2,7.7,7.7,7.5
22127154,Pham Van Minh,6.6,8.4,6.5,7.5
