Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127952,Tran Thi Mai,9.3,6.9,9.8,8.2
20127187,Hoang Tuan Anh,6.6,9.2,7.2,8
20127975,Do Thu Ha,6.9,7.3,9.2,7.5
20127897,Luu Hoang Long,8,7.7,8.7,8
20127426,Dinh Thi Ngoc,6.9,9.2,7.4,8.1
20127436,Nguyen Duc Quan,7.3,9.3,6.8,8.2
20127771,Le Minh Tuan,8,7.5,8.1,7.8
20127253,Tran Thi Nga,6.6,9.5,9.7,8.6
20127529,Hoang Minh Quan,8.6,7.1,8.2,7.8
20127597,Trinh Thi Thu Trang,9.8,7.5,6.5,8.1
20127958,Ngo Duc An,6.8,7.7,9.4,7.7
20127675,Huynh Thi My,6.7,7.8,6.5,7.2
20127930,Ho Van Khanh,8.6,8.3,6.9,8.2
20127865,Truong Van Thanh,8.3,7.3,8.8,7.9
20127522,Le Thi Thanh Tam,8.7,8.6,9.2,8.7
20127961,Vo Van An,9,8.6,8,8.6
20127533,Bui Thi Lan Anh,8.9,6.5,8.7,7.7
20127734,Phan Van Hieu,9.4,6.7,6.8,7.6
20127660,Tran Thi My Linh,8.5,6.6,7.4,7.4
20127250,Vo Van Quan,7.3,8.6,8.1,8.1
20127645,Nguyen Thi Thanh Thao,6.9,8.3,9.5,8
20127585,Pham Van Tuan,7.6,9,8.2,8.4
20127310,Do Thi Phuong Thao,7.7,8.7,7.5,8.2
20127921,Luu Van Minh,8.3,8.1,8.5,8.2
20127435,Dinh Thi Lan Anh,9.2,9.6,6.9,9
20127827,Nguyen Van Anh,7.6,7.7,8.9,7.9
20127813,Le Thi Ngoc Anh,9.3,7.6,8.4,8.3
20127564,Tran Van Long,6.8,7.7,7.2,7.3
20127838,Hoang Thi Thu Hang,6.6,9.7,8.7,8.5
20127947,Trinh Van Hieu,9.4,6.4,6.6,7.4
20127925,Ngo Thi Thu Hang,7.3,8,6.6,7.5
20127612,Huynh Van Thanh,8.9,7.1,8.9,8
20127482,Ho Thi Bich Ngoc,7.8,8.6,7.6,8.2
20127255,Truong Van Anh,9.4,7.8,9.5,8.6
20127726,Le Thi Bich Ngoc,7,8.1,7.8,7.7
20127202,Vo Van Hieu,8.9,9.8,8.3,9.2
20127575,Bui Thi Thuy Linh,9.4,8.4,8.3,8.7
20127755,Phan Van Nam,9.5,6.5,9.6,8
20127541,Tran Thi Thu Huong,9.4,9.9,9.6,9.7
20127572,Vo Van Trung,6.8,7.4,7.7,7.3
20127286,Nguyen Thi Thu Hang,6.6,8.9,6.5,7.7
20127887,Pham Van Nam,9.8,9.6,8.7,9.5
20127693,Do Thi Lan,7.4,8,6.5,7.5
20127456,Luu Van Anh,7.6,7.1,6.5,7.2
20127620,Dinh Thi Kim Anh,9.7,8,8.6,8.7
20127490,Nguyen Van Anh,7.4,9.5,8.6,8.7
20127266,Le Thi Hong,7.7,9.6,7.9,8.7
20127309,Tran Van Huy,8.6,8,7.1,8.1
20127928,Hoang Thi Thu Trang,7.7,8.6,7.9,8.2
20127870,Trinh Van Anh,7.3,9.3,7.2,8.3
