Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127673,Tran Thi Nhung,8.7,8.3,7.3,8.3
23127525,Hoang Van Hoa,6.9,9,9.6,8.4
23127169,Le Thi Minh,7.5,9.6,7.6,8.6
23127842,Nguyen Van Dung,7.8,7.5,8.9,7.8
23127268,Pham Thi Bao,9.3,7.5,7.2,8.1
23127946,Tran Van Phong,8.3,10,9.5,9.3
23127443,Hoang Thi Ngoc,8.7,7.8,8,8.1
23127889,Le Van Khanh,8.1,9.3,9.7,9
23127778,Nguyen Thi Kim,6.8,8.2,7.5,7.6
23127715,Pham Van Quang,8,7.1,8.1,7.6
23127979,Tran Thi Thu,8.9,9.2,7.4,8.8
23127780,Hoang Van Thanh,7,9.6,9.9,8.8
23127699,Le Thi Phuong,7.3,9.1,9.4,8.5
23127962,Nguyen Van Tuan,9.3,8.1,6.7,8.3
23127953,Pham Thi Ngan,9.3,8.6,9.8,9
23127824,Tran Van Khanh,8.7,8.2,6.8,8.1
23127594,Hoang Thi Ngoc,7.1,7.1,9.8,7.5
23127218,Le Van Phuong,9.3,9.2,9.7,9.3
23127886,Nguyen Thi Trang,7.8,7.2,7.7,7.5
23127677,Pham Van Anh,9.7,8.6,7.9,8.8
23127372,Tran Thi Bich,9.6,8.3,6.4,8.4
23127604,Hoang Van Tuan,7.6,8.9,6.5,8.1
23127409,Le Thi Mai,6.9,8,7.1,7.5
23127713,Nguyen Van Binh,8.1,6.5,7.1,7.1
23127826,Pham Thi Thuy,6.9,6.9,6.6,6.9
23127141,Tran Van Dung,9.8,9,6.6,8.9
23127902,Hoang Thi Lan,7.9,7.2,8.7,7.7
23127155,Le Van Anh,7.7,7.2,9.2,7.7
23127709,Nguyen Thi Ngoc,9.3,7.4,9.3,8.4
23127344,Pham Van Hung,7.7,9.3,6.4,8.3
23127498,Tran Thi Lan,7.4,9.9,8.7,8.9
23127582,Hoang Van Hung,7.1,8.6,9.2,8.2
23127664,Le Thi Thao,7.7,10,9.2,9.1
23127402,Nguyen Van Anh,6.4,9.9,6.9,8.2
23127768,Pham Thi Lan,9,7.1,8.4,7.9
23127833,Tran Van An,8.9,8.9,7.2,8.6
23127751,Hoang Thi Thu,7.9,8.4,9.9,8.5
23127658,Le Van Hoang,8.7,6.7,8.3,7.6
23127827,Nguyen Thi Hien,7.9,7.8,9.9,8.2
23127275,Pham Van Toan,6.8,6.4,8.7,6.9
23127785,Tran Thi Mai,8.3,8.8,7.2,8.4
23127323,Hoang Van Tai,8,8.4,9.2,8.4
23127728,Le Thi Lan,8,8.1,9,8.2
23127915,Nguyen Van Tien,7.1,7.2,9,7.5
23127629,Pham Thi Hoa,9.2,7.8,7.4,8.2
23127335,Tran Van Hieu,7.2,9.5,6.9,8.3
23127488,Hoang Thi Thuy,7.5,7.9,6.8,7.6
23127199,Le Van Huy,9.5,6.9,7.6,7.9
23127921,Nguyen Thi Ha,9.7,9.3,10,9.5
23127357,Pham Van Long,6.9,7.8,6.5,7.3
