Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127100,Nguyen Van Bao,7.2,6.8,10,7.5
20127433,Pham Thanh Huong,6.9,9.5,8.6,8.5
20127424,Vo Quang Hieu,7.5,8.5,6.6,7.9
20127182,Bui Thi Lan,9.8,9,9.2,9.3
20127857,Phan Huy Hoang,6.4,9.2,7.5,8
20127943,Tran Ngoc Anh,9.2,9.1,7.4,8.8
20127369,Vo Thi Mai,7.4,9.7,6.7,8.4
20127762,Nguyen Hoang Nam,6.9,9.7,9.3,8.7
20127519,Pham Thi Dieu Linh,8.1,8.2,8.5,8.2
20127710,Do Van Hieu,9.9,6.9,8.3,8.1
20127955,Luu Thi Hien,8.6,9,10,9
20127226,Dinh Van Hoa,8.6,6.7,7.5,7.5
20127511,Nguyen Thi Kim Anh,9,7.4,8.4,8.1
20127899,Le Minh Hung,7.8,7.9,8.1,7.9
20127814,Tran Van Phuc,7.2,8.7,9,8.2
20127552,Hoang Thi Huong,6.6,7.7,6.4,7.1
20127915,Trinh Van Hien,9.5,7.7,6.8,8.2
20127984,Ngo Thi Ngoc Tram,6.8,8.6,9.7,8.2
20127390,Huynh Van Minh,6.9,7.3,9.4,7.5
20127441,Ho Thi Mai,9.6,8.4,9.4,9
20127407,Truong Van Hung,7.3,6.7,8.6,7.2
20127651,Le Thi Ha,8.6,7.4,8.7,8
20127864,Vo Van Huy,8.3,9.7,7.6,8.9
20127447,Bui Thi Thanh Huong,9.2,7.5,6.4,7.9
20127341,Phan Van Trung,8.1,7.5,8.6,7.9
20127906,Tran Thi Kim Ngan,8.5,7.5,9.9,8.2
20127501,Vo Van Thanh,9.7,8.6,7.3,8.7
20127677,Nguyen Thi Thu Ha,9.4,9.3,8.9,9.3
20127980,Pham Van Son,9.8,9.3,9.9,9.6
20127327,Do Thi Bich Ngoc,9.6,7.8,9.8,8.7
20127795,Luu Van Hien,10,9.9,6.9,9.4
20127842,Dinh Thi Thanh Huyen,7.5,7.7,7.1,7.5
20127999,Nguyen Van Hoang,8.6,9.2,7.3,8.7
20127657,Le Thi Thuy Trang,8.3,8.1,9,8.3
20127938,Tran Van Hieu,9.1,7.5,9.8,8.4
20127618,Hoang Thi Thu Ha,9.9,8.1,6.7,8.5
20127323,Trinh Van Hung,8.1,7.8,9.2,8.1
20127403,Ngo Thi Thu Trang,9.3,7.6,9.7,8.5
20127716,Huynh Van Hieu,8.9,9.4,9.6,9.3
20127858,Ho Thi Thanh Thao,8.3,8.4,9.8,8.6
20127384,Truong Van Huy,9.7,8.5,9.2,9
20127363,Le Thi Huong,9.2,9.4,9,9.3
20127498,Vo Van Anh,7.9,8.8,7.2,8.2
20127494,Bui Thi Hoa,9,8.4,9.5,8.8
20127945,Phan Van Quan,8.5,9,9.2,8.9
20127730,Tran Thi Thanh Thao,8,9.3,10,9
20127650,Vo Van Minh,9.5,9.3,7.5,9.1
20127320,Nguyen Thi Thanh Huong,8.1,6.5,9.3,7.5
20127603,Pham Van Hieu,9.6,8.1,8.1,8.6
20127810,Do Thi Thu Huong,9.5,7.1,6.9,7.9
