Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127924,Tran Thi Bao,7.5,9.6,8.7,8.8
22127938,Hoang Van Duy,9,9.9,8.3,9.3
22127685,Le Thi Lan,8.1,8.1,9.5,8.3
22127607,Nguyen Van Minh,6.9,9,7.7,8.1
22127333,Pham Thi Quyen,6.6,9.9,7.2,8.4
22127695,Tran Van Tuan,9.5,8.6,7.2,8.7
22127381,Hoang Thi Yen,9.8,9.6,10,9.7
22127221,Le Quoc Chinh,9.3,8.2,9.3,8.8
22127994,Nguyen Thi Giang,9.7,8.9,6.4,8.8
22127713,Pham Van Nam,8.4,6.8,6.9,7.4
22127391,Tran Thi Quy,6.7,9.3,6.9,8
22127573,Hoang Van Sang,9.3,7.5,6.5,7.9
22127368,Le Thi Thanh,8.9,8.3,9.3,8.7
22127982,Nguyen Van Binh,9.5,9.9,8.9,9.6
22127947,Pham Thi Diem,8.7,9,7.9,8.7
22127732,Tran Van Loc,7,9.9,8.9,8.8
22127791,Hoang Thi Nhung,7.9,7.6,6.4,7.5
22127486,Le Quoc Gia,6.9,7.2,7,7.1
22127233,Nguyen Thi Linh,8,8.9,7.2,8.3
22127424,Pham Van Quang,7.8,8.7,7.4,8.2
22127648,Tran Thi Thao,6.4,7.4,7.2,7
22127817,Hoang Van Anh,9.6,7.8,9.9,8.7
22127248,Le Thi Dung,7.6,8.7,8.9,8.4
22127209,Nguyen Van Hieu,9,7.7,9.2,8.4
22127939,Pham Thi Huong,9,7.6,7.7,8.1
22127362,Tran Van Long,7.5,7.3,8.7,7.6
22127188,Hoang Thi Nga,8.6,7.5,7.3,7.8
22127452,Le Quoc Son,9,6.8,8.2,7.8
22127195,Nguyen Thi Trinh,8.3,7.1,8.3,7.7
22127736,Pham Van An,6.5,6.4,7.4,6.6
22127292,Tran Thi Dao,8.1,7.9,6.9,7.8
22127785,Hoang Van Hieu,8.7,7.3,6.5,7.6
22127526,Le Thi Lan,9.8,7.2,7.9,8.2
22127336,Nguyen Van Nam,7.7,6.9,7.8,7.3
22127260,Pham Thi Quyen,9.8,9.9,7.4,9.5
22127919,Tran Van Thuan,9,7.5,7.8,8
22127826,Hoang Thi Uyen,7.2,9.2,9,8.5
22127307,Le Quoc Anh,9.2,8,9.6,8.7
22127239,Nguyen Thi Dao,8.6,8.9,8,8.7
22127959,Pham Van Hieu,7.6,9.2,6.7,8.2
22127928,Tran Thi Lan,7.7,7,8.6,7.5
22127284,Hoang Van Minh,9.4,9.6,9.4,9.5
22127418,Le Thi Phuong,7,7.9,7.7,7.6
22127542,Nguyen Van Thanh,8.3,7.2,9.3,7.9
22127411,Pham Thi Trang,7.8,9.2,9.3,8.8
22127169,Tran Van Binh,7.4,8.4,8.4,8.1
22127206,Hoang Thi Ha,8.6,8.6,9,8.7
22127699,Le Quoc Hung,8.3,8.9,9.6,8.8
22127566,Nguyen Thi Lan,7.7,9.2,9.6,8.8
22127154,Pham Van Minh,9.3,9.9,9,9.6
