Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127563,Le Quoc Cuong,8.3,9.7,7.5,8.9
22127850,Nguyen Thi Ha,6.4,9.7,6.8,8.1
22127770,Pham Van Long,9,8.1,8.7,8.5
22127297,Tran Thi Nga,7.7,8.9,7.4,8.2
22127916,Hoang Van Son,8.7,9,8.4,8.8
22127781,Le Thi Uyen,7,7.2,6.9,7.1
22127145,Nguyen Van Anh,9.8,6.7,7.2,7.8
22127462,Pham Thi Dao,8.3,6.8,6.6,7.3
22127280,Tran Van Huy,7.9,9.9,9.3,9.1
22127429,Hoang Thi Ngoc,8.6,8.3,6.8,8.2
22127536,Le Van Quan,8,6.9,9.5,7.7
22127653,Nguyen Thi Trang,8.5,8.9,9,8.8
22127277,Pham Van Thinh,9.7,7,6.9,7.9
22127390,Tran Thi Cam,8.6,8.2,8.1,8.3
22127901,Hoang Van Hung,6.8,8,9.8,7.9
22127899,Le Thi Mai,8,6.8,9.2,7.6
22127445,Nguyen Van Cuong,8.3,8.6,8.5,8.5
22127589,Pham Thi Ha,8.7,7.9,9,8.3
22127470,Tran Van Minh,7.5,7.5,7.4,7.5
22127316,Hoang Thi Suong,6.8,8,9.8,7.9
22127176,Le Quoc Trung,6.9,7.5,9.3,7.6
22127626,Nguyen Thi Bao,8.1,8.3,9.6,8.5
22127455,Pham Van Duy,8.4,9.8,9.6,9.3
22127891,Tran Thi Hoa,9.4,8.5,9.5,9
22127349,Hoang Van Kiet,6.4,8.5,8.1,7.7
22127603,Le Thi Mai,9.8,6.4,7.7,7.8
22127870,Nguyen Van Quan,6.6,8.4,10,8.1
22127158,Pham Thi Thanh,8.6,6.5,8.4,7.5
22127224,Tran Van Vinh,9.2,8,6.5,8.2
22127984,Hoang Thi Binh,7.9,9.7,7.1,8.7
22127693,Le Quoc Dung,8.3,9.6,8.9,9
22127611,Nguyen Thi Hoai,9.9,9.6,8.9,9.6
22127855,Pham Van Loc,8.8,9.7,8.9,9.3
22127829,Tran Thi Ngoc,9.5,7.5,7.1,8.1
22127251,Hoang Van Son,7.6,7.3,8.8,7.6
22127943,Le Thi Trang,7.6,6.7,7.2,7.1
22127776,Nguyen Van Vinh,9,8.3,6.5,8.2
22127635,Pham Thi Bich,9.9,6.5,9.1,8.1
22127884,Tran Van Dinh,7.8,8,7.4,7.8
22127469,Hoang Thi Huong,9.7,6.5,6.8,7.6
22127578,Le Quoc Long,6.6,8.8,6.6,7.7
22127327,Nguyen Thi Nga,9.4,7,9.3,8.2
22127347,Pham Van Quyen,6.8,7.2,8,7.2
22127965,Tran Thi Thuy,9.9,9.2,9.3,9.5
22127922,Hoang Van An,9.4,8.3,6.7,8.4
22127662,Le Thi Cam,8.2,9.3,9.8,9
22127557,Nguyen Van Hieu,7.5,9.3,7.1,8.3
22127980,Pham Thi Huong,8.9,9.8,9.8,9.5
22127735,Tran Van Long,8.4,8.9,8.2,8.6
22127896,Hoang Thi Nga,8,9.9,9.8,9.2
