Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127178,Le Thi Thuy Trang,9.6,8.3,7.3,8.6
22127294,Pham Thi Dung,8.1,6.5,7,7.1
22127521,Tran Van Hieu,8,6.5,8.6,7.4
22127375,Hoang Thi Mai,8.7,6.5,6.9,7.3
22127584,Le Van Phuc,9.5,10,7.2,9.4
22127738,Nguyen Thi Thu,9.3,6.7,9.3,8
22127968,Pham Van Vinh,6.6,7.7,8.6,7.5
22127512,Tran Thi Bich,7.5,9.5,7.2,8.5
22127123,Hoang Van Duong,6.9,8.4,9,8
22127883,Le Thi Ly,6.5,9.3,9.4,8.4
22127657,Nguyen Van Phong,9.8,8.3,9.6,9
22127714,Pham Thi Rang,7.5,10,8.4,8.9
22127441,Tran Van Tri,9.2,7.4,9.7,8.4
22127844,Hoang Thi Truc,9.5,7.1,6.9,7.9
22127865,Le Quoc Dinh,7.9,6.6,6.5,7
22127641,Nguyen Thi Lan,8.2,9.2,7.4,8.6
22127957,Pham Van Nhan,6.5,7.9,9.4,7.7
22127302,Tran Thi Duyen,7.3,8.3,9.7,8.2
22127808,Hoang Van Khoa,9.2,6.9,9.3,8.1
22127506,Le Thi Ngoc,8,6.6,8.4,7.4
22127679,Nguyen Van Tien,9.6,7.4,9.1,8.4
22127995,Pham Thi Van,7,8.3,7.5,7.7
22127749,Tran Van Cuong,8.3,7.7,7.5,7.9
22127133,Hoang Thi Ha,8.7,8.5,7.1,8.3
22127594,Le Quoc Hung,8,7.9,8.2,8
22127914,Nguyen Thi Lan,7.5,10,6.9,8.7
22127709,Pham Van Minh,8.3,9.7,6.5,8.7
22127168,Tran Thi Quyen,7.1,9.3,7.8,8.3
22127518,Hoang Van Thanh,6.6,8.4,7.2,7.6
22127147,Le Thi Xuan,8.8,9.6,8.7,9.2
22127399,Nguyen Van Chinh,8.4,9.7,6.6,8.8
22127767,Pham Thi Giang,7.1,8.9,8.5,8.2
22127740,Tran Van Hung,9.3,7.3,9.8,8.4
22127414,Hoang Thi Mai,6.9,8.4,9.6,8.1
22127437,Le Quoc Phuc,8.7,9.3,8.3,8.9
22127503,Nguyen Thi Thao,7.5,7.9,8.6,7.9
22127872,Pham Van Tri,6.8,9.7,8.6,8.5
22127976,Tran Thi Yen,6.9,9.6,8.9,8.6
22127802,Hoang Van Cuong,9.8,6.6,6.9,7.7
22127199,Le Thi Dung,9.8,7.1,8.1,8.2
22127705,Nguyen Van Khoi,7.9,9.8,7.4,8.8
22127491,Pham Thi Mai,9.3,6.9,7.8,7.9
22127992,Tran Van Phat,9.6,7.5,7.4,8.2
22127497,Hoang Thi Tam,8.4,6.8,8.7,7.7
22127797,Le Quoc Tuan,7.8,7.2,9.8,7.8
22127674,Nguyen Thi Bao,6.6,7.3,7.4,7.1
22127667,Pham Van Dung,8.8,9.3,6.8,8.7
22127967,Tran Thi Hoai,8.5,6.5,7.7,7.4
22127631,Hoang Van Kiet,8.7,8.7,7.6,8.5
22127218,Le Thi Mai,9.6,6.8,7.8,7.9
