Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
23127673,Tran Thi Nhung,9,8.9,9.8,9.1
23127525,Hoang Van Hoa,9.5,9.5,8,9.2
23127169,Le Thi Minh,7.4,7.5,10,7.9
23127842,Nguyen Van Dung,8.6,7.4,8.5,8
23127268,Pham Thi Bao,7.5,6.6,7.1,7
23127946,Tran Van Phong,7.1,6.8,9.3,7.3
23127443,Hoang Thi Ngoc,9,6.6,8.3,7.7
23127889,Le Van Khanh,7.1,7.4,8,7.4
23127778,Nguyen Thi Kim,8.7,9.4,9.6,9.2
23127715,Pham Van Quang,7.3,6.7,8.2,7.2
23127979,Tran Thi Thu,6.5,8.7,7.6,7.8
23127780,Hoang Van Thanh,6.8,8.1,6.8,7.4
23127699,Le Thi Phuong,6.4,9.5,8.3,8.3
23127962,Nguyen Van Tuan,8,9.9,8.7,9.1
23127953,Pham Thi Ngan,6.9,6.6,9.4,7.2
23127824,Tran Van Khanh,9.6,6.5,6.9,7.6
23127594,Hoang Thi Ngoc,7,8,9.2,7.9
23127218,Le Van Phuong,6.9,6.8,8.8,7.2
23127886,Nguyen Thi Trang,9.8,9.8,7.4,9.4
23127677,Pham Van Anh,6.4,6.8,9.6,7.1
23127372,Tran Thi Bich,7.7,9.3,8.9,8.7
23127604,Hoang Van Tuan,8.1,9.2,8.6,8.7
23127409,Le Thi Mai,9.8,7.5,7.8,8.3
23127713,Nguyen Van Binh,9.2,6.6,10,8
23127826,Pham Thi Thuy,7.1,8.4,7.1,7.8
23127141,Tran Van Dung,9,8,8.7,8.5
23127902,Hoang Thi Lan,6.6,8.3,7.3,7.6
23127155,Le Van Anh,8.1,9.2,9.8,8.9
23127709,Nguyen Thi Ngoc,6.9,7,7.4,7
23127344,Pham Van Hung,9.5,6.9,8.6,8.1
23127498,Tran Thi Lan,9.8,6.8,8,8
23127582,Hoang Van Hung,7.5,6.5,8.9,7.2
23127664,Le Thi Thao,6.9,8.4,9.5,8.1
23127402,Nguyen Van Anh,8.6,7.2,7.8,7.8
23127768,Pham Thi Lan,8.3,9.9,6.4,8.8
23127833,Tran Van An,6.8,8.1,7.5,7.6
23127751,Hoang Thi Thu,7.7,8.7,8.6,8.3
23127658,Le Van Hoang,7.8,9.7,9.8,9.1
23127827,Nguyen Thi Hien,6.5,9.1,6.8,7.8
23127275,Pham Van Toan,6.6,8.5,7.5,7.7
23127785,Tran Thi Mai,8.4,9.1,7.2,8.5
23127323,Hoang Van Tai,9.8,7.4,6.5,8.1
23127728,Le Thi Lan,7.1,8,9.1,7.9
23127915,Nguyen Van Tien,6.6,7.5,6.5,7
23127629,Pham Thi Hoa,7.5,9.9,9.6,9.1
23127335,Tran Van Hieu,8.3,9.8,7.7,9
23127488,Hoang Thi Thuy,9.2,8,7.8,8.4
23127199,Le Van Huy,8.5,8.9,6.6,8.4
23127921,Nguyen Thi Ha,9.1,9.3,6.9,8.8
23127357,Pham Van Long,7.5,9.8,6.6,8.5
