Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127952,Tran Thi Mai,7.8,9.1,7.1,8.3
20127187,Hoang Tuan Anh,6.8,7.5,7.5,7.3
20127975,Do Thu Ha,8.6,8.9,6.7,8.4
20127897,Luu Hoang Long,8.8,8.2,7.1,8.2
20127426,Dinh Thi Ngoc,8.8,7,6.5,7.5
20127436,Nguyen Duc Quan,8.1,9.1,9.3,8.8
20127771,Le Minh Tuan,7.9,8.7,7.2,8.2
20127253,Tran Thi Nga,7.5,6.9,7.3,7.2
20127529,Hoang Minh Quan,7,9.8,7.1,8.4
20127597,Trinh Thi Thu Trang,10,8.9,7.2,9
20127958,Ngo Duc An,8.9,9.7,9.2,9.3
20127675,Huynh Thi My,7.5,8.1,9.8,8.2
20127930,Ho Van Khanh,9,8.6,7.4,8.5
20127865,Truong Van Thanh,9.3,7.4,9.6,8.4
20127522,Le Thi Thanh Tam,7.5,7,8.4,7.4
20127961,Vo Van An,9.7,8.3,9.8,9
20127533,Bui Thi Lan Anh,7,7.8,8,7.6
20127734,Phan Van Hieu,8.6,8.1,8.1,8.3
20127660,Tran Thi My Linh,9.7,9.1,8.3,9.2
20127250,Vo Van Quan,7.8,8.6,7.4,8.1
20127645,Nguyen Thi Thanh Thao,9.6,9.5,7.2,9.2
20127585,Pham Van Tuan,9.8,7.2,9.9,8.5
20127310,Do Thi Phuong Thao,9.3,8.9,8.3,8.9
20127921,Luu Van Minh,9.2,7.3,8.4,8.1
20127435,Dinh Thi Lan Anh,7.9,6.4,8,7.2
20127827,Nguyen Van Anh,6.5,6.5,7.8,6.7
20127813,Le Thi Ngoc Anh,8,7.2,9.3,7.8
20127564,Tran Van Long,6.8,8.3,7.4,7.6
20127838,Hoang Thi Thu Hang,7.5,8.2,6.8,7.7
20127947,Trinh Van Hieu,8.3,9.5,8.8,9
20127925,Ngo Thi Thu Hang,9.3,10,7.4,9.3
20127612,Huynh Van Thanh,6.8,8.6,9,8.1
20127482,Ho Thi Bich Ngoc,9,6.8,6.5,7.5
20127255,Truong Van Anh,6.6,7.4,8.3,7.3
20127726,Le Thi Bich Ngoc,8.3,8.5,7.2,8.2
20127202,Vo Van Hieu,9.5,9.6,8.3,9.3
20127575,Bui Thi Thuy Linh,6.8,7.6,7.3,7.3
20127755,Phan Van Nam,7.6,9.7,9.3,8.9
20127541,Tran Thi Thu Huong,9.2,9.4,9.2,9.3
20127572,Vo Van Trung,7.4,9.8,9.2,8.9
20127286,Nguyen Thi Thu Hang,7.1,7.3,9.4,7.6
20127887,Pham Van Nam,9,8.9,9.9,9.1
20127693,Do Thi Lan,7.7,9.5,6.6,8.4
20127456,Luu Van Anh,7.5,7.1,7.3,7.3
20127620,Dinh Thi Kim Anh,9.3,8.4,9.3,8.9
20127490,Nguyen Van Anh,7.5,9.9,6.8,8.6
20127266,Le Thi Hong,9.7,9.1,7.3,9
20127309,Tran Van Huy,9.9,7.4,7.8,8.3
20127928,Hoang Thi Thu Trang,7.7,9,6.5,8.2
20127870,Trinh Van Anh,8.7,9.3,9.3,9.1
