Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127563,Le Quoc Cuong,7.6,10,9.4,9.1
22127850,Nguyen Thi Ha,6.6,9.3,8,8.2
22127770,Pham Van Long,8.3,8.6,7.4,8.3
22127297,Tran Thi Nga,9.2,9,7.7,8.8
22127916,Hoang Van Son,9.2,8,7.9,8.4
22127781,Le Thi Uyen,7.7,9,6.8,8.2
22127145,Nguyen Van Anh,8.4,7.2,7.4,7.6
22127462,Pham Thi Dao,7.8,7,8.7,7.5
22127280,Tran Van Huy,9.6,8.3,8.6,8.8
22127429,Hoang Thi Ngoc,8.7,7.5,6.9,7.8
22127536,Le Van Quan,9.8,7.8,7.2,8.4
22127653,Nguyen Thi Trang,8.2,8.1,7.5,8
22127277,Pham Van Thinh,9.3,6.5,9.3,7.9
22127390,Tran Thi Cam,8,7.8,8.6,8
22127901,Hoang Van Hung,6.6,7.2,9.2,7.3
22127899,Le Thi Mai,9,7.6,8.3,8.2
22127445,Nguyen Van Cuong,8.6,8.2,6.5,8
22127589,Pham Thi Ha,8.1,9.1,7.8,8.5
22127470,Tran Van Minh,8.1,9.9,6.9,8.8
22127316,Hoang Thi Suong,8.3,7.8,9.8,8.3
22127176,Le Quoc Trung,10,7.9,8,8.6
22127626,Nguyen Thi Bao,9.3,9.3,9.4,9.3
22127455,Pham Van Duy,9.6,9.2,9,9.3
22127891,Tran Thi Hoa,8.5,8.1,8.9,8.4
22127349,Hoang Van Kiet,7.7,6.4,7.7,7.1
22127603,Le Thi Mai,9.1,9.6,7.2,9
22127870,Nguyen Van Quan,9.5,7.8,9.8,8.7
22127158,Pham Thi Thanh,9.3,6.9,7.5,7.8
22127224,Tran Van Vinh,9,8.7,8.7,8.8
22127984,Hoang Thi Binh,9.2,6.7,6.5,7.5
22127693,Le Quoc Dung,8.2,7.1,9.8,7.9
22127611,Nguyen Thi Hoai,9.2,8.7,7.4,8.7
22127855,Pham Van Loc,7.7,10,8.1,8.9
22127829,Tran Thi Ngoc,9,8.3,8.1,8.5
22127251,Hoang Van Son,8.8,8.1,6.9,8.1
22127943,Le Thi Trang,7.7,6.8,8.6,7.4
22127776,Nguyen Van Vinh,7.1,9.7,6.8,8.3
22127635,Pham Thi Bich,7.1,7.7,7.5,7.5
22127884,Tran Van Dinh,8.8,6.9,7.5,7.6
22127469,Hoang Thi Huong,6.9,8,7.7,7.6
22127578,Le Quoc Long,7.5,9,9.7,8.6
22127327,Nguyen Thi Nga,8.9,8.7,7.4,8.5
22127347,Pham Van Quyen,6.7,8.8,6.9,7.8
22127965,Tran Thi Thuy,6.4,9.9,8.3,8.5
22127922,Hoang Van An,7.4,7.3,7.1,7.3
22127662,Le Thi Cam,8,9.9,7.5,8.9
22127557,Nguyen Van Hieu,7.1,7.1,9.6,7.5
22127980,Pham Thi Huong,8,9.5,9.8,9
22127735,Tran Van Long,8.9,9.8,6.5,9
22127896,Hoang Thi Nga,8.6,9.3,9.2,9
