Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127924,Tran Thi Bao,6.9,8.9,9.3,8.3
22127938,Hoang Van Duy,8.4,7.6,8.1,7.9
22127685,Le Thi Lan,8,9.8,6.6,8.7
22127607,Nguyen Van Minh,7.1,9.2,6.6,8.1
22127333,Pham Thi Quyen,7.5,7.2,7.9,7.4
22127695,Tran Van Tuan,6.5,7.8,6.8,7.2
22127381,Hoang Thi Yen,7.2,6.8,8.3,7.2
22127221,Le Quoc Chinh,9.7,7.8,9.8,8.8
22127994,Nguyen Thi Giang,9.3,6.5,9.9,8
22127713,Pham Van Nam,8.1,7.8,7.3,7.8
22127391,Tran Thi Quy,7.8,7.2,7.7,7.5
22127573,Hoang Van Sang,6.9,7.4,8.6,7.4
22127368,Le Thi Thanh,6.5,8.3,9.9,8
22127982,Nguyen Van Binh,8.5,6.7,8.2,7.5
22127947,Pham Thi Diem,6.5,8.7,6.8,7.6
22127732,Tran Van Loc,9.4,8.4,7.5,8.6
22127791,Hoang Thi Nhung,7.8,9.5,9.7,9
22127486,Le Quoc Gia,9.2,9.5,8.4,9.2
22127233,Nguyen Thi Linh,9.6,6.6,9.8,8.1
22127424,Pham Van Quang,7.2,9.3,7.7,8.3
22127648,Tran Thi Thao,7.7,9.9,6.5,8.6
22127817,Hoang Van Anh,9.6,7.5,7.2,8.2
22127248,Le Thi Dung,7.2,8.6,6.5,7.8
22127209,Nguyen Van Hieu,6.9,9.8,9.5,8.8
22127939,Pham Thi Huong,8,9.7,9.9,9.2
22127362,Tran Van Long,8,7.5,9,7.9
22127188,Hoang Thi Nga,9.5,7.9,9.3,8.7
22127452,Le Quoc Son,8.6,6.4,8.2,7.4
22127195,Nguyen Thi Trinh,9.6,9.2,6.9,8.9
22127736,Pham Van An,7.5,8.3,8.8,8.1
22127292,Tran Thi Dao,8.1,6.6,9.8,7.6
22127785,Hoang Van Hieu,9.3,8.3,6.8,8.4
22127526,Le Thi Lan,8.1,7.1,9.6,7.9
22127336,Nguyen Van Nam,7.1,8.6,7.6,7.9
22127260,Pham Thi Quyen,10,7,8.6,8.3
22127919,Tran Van Thuan,9.2,8,9.5,8.7
22127826,Hoang Thi Uyen,9.2,9.8,9.3,9.5
22127307,Le Quoc Anh,9.8,8.7,9.6,9.2
22127239,Nguyen Thi Dao,9.9,8.9,9.8,9.4
22127959,Pham Van Hieu,8.6,8.1,9.3,8.5
22127928,Tran Thi Lan,8.5,8.7,9.7,8.8
22127284,Hoang Van Minh,8.1,8.1,9.9,8.4
22127418,Le Thi Phuong,8.9,8.8,9.9,9
22127542,Nguyen Van Thanh,8.9,6.9,8.9,7.9
22127411,Pham Thi Trang,6.8,7.2,7.1,7.1
22127169,Tran Van Binh,7.1,8.2,7.3,7.7
22127206,Hoang Thi Ha,6.4,8.1,8.5,7.6
22127699,Le Quoc Hung,8.6,6.9,7.9,7.6
22127566,Nguyen Thi Lan,7.3,7.8,9.1,7.9
22127154,Pham Van Minh,8.9,6.8,8.9,7.9
