Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
22127563,Le Quoc Cuong,6.4,9.4,6.6,7.9
22127850,Nguyen Thi Ha,6.8,7.1,8.7,7.3
22127770,Pham Van Long,8.6,7.9,9,8.3
22127297,Tran Thi Nga,9.7,7.1,9.5,8.4
22127916,Hoang Van Son,8,6.4,10,7.5
22127781,Le Thi Uyen,6.8,6.4,7.4,6.7
22127145,Nguyen Van Anh,9.8,9.3,9.9,9.6
22127462,Pham Thi Dao,6.6,6.8,9.3,7.1
22127280,Tran Van Huy,9.8,9.2,8.3,9.2
22127429,Hoang Thi Ngoc,7.1,8.3,6.8,7.6
22127536,Le Van Quan,9.8,6.6,9.7,8.2
22127653,Nguyen Thi Trang,10,9.2,9.4,9.5
22127277,Pham Van Thinh,7.8,9.8,8.7,9
22127390,Tran Thi Cam,9.9,7.4,7.4,8.2
22127901,Hoang Van Hung,8.7,6.7,7.4,7.5
22127899,Le Thi Mai,9.2,6.5,9.9,8
22127445,Nguyen Van Cuong,9.3,9.9,8.6,9.5
22127589,Pham Thi Ha,7.1,9.2,9.2,8.5
22127470,Tran Van Minh,9.2,7.8,9.4,8.5
22127316,Hoang Thi Suong,6.6,8.3,7.9,7.7
22127176,Le Quoc Trung,8.1,8.8,7.8,8.4
22127626,Nguyen Thi Bao,9.3,7.8,9,8.5
22127455,Pham Van Duy,6.8,6.4,9.6,7.1
22127891,Tran Thi Hoa,9.5,8.7,9.1,9
22127349,Hoang Van Kiet,7.2,9.2,6.8,8.1
22127603,Le Thi Mai,6.5,8.9,7,7.8
22127870,Nguyen Van Quan,9.6,8.7,7.8,8.8
22127158,Pham Thi Thanh,9.4,7.5,7.6,8.2
22127224,Tran Van Vinh,6.7,8,7.7,7.5
22127984,Hoang Thi Binh,7.2,8.8,9.6,8.4
22127693,Le Quoc Dung,7.4,7.7,9.9,8
22127611,Nguyen Thi Hoai,9,6.8,8.8,7.9
22127855,Pham Van Loc,8.1,7,9.8,7.8
22127829,Tran Thi Ngoc,6.4,9.3,7.2,8
22127251,Hoang Van Son,7.4,8.7,7.7,8.1
22127943,Le Thi Trang,7.4,7.8,9.2,7.9
22127776,Nguyen Van Vinh,7.1,9.7,6.4,8.3
22127635,Pham Thi Bich,7.5,9.2,7.6,8.4
22127884,Tran Van Dinh,7.6,8.2,7.8,7.9
22127469,Hoang Thi Huong,7.5,9.2,7.4,8.3
22127578,Le Quoc Long,7.1,6.8,7.6,7
22127327,Nguyen Thi Nga,10,9.2,6.9,9.1
22127347,Pham Van Quyen,6.5,9.5,7.8,8.2
22127965,Tran Thi Thuy,8,8,6.4,7.7
22127922,Hoang Van An,7.2,9,9.5,8.5
22127662,Le Thi Cam,9.8,7.8,9.3,8.7
22127557,Nguyen Van Hieu,7.4,8.1,9.8,8.1
22127980,Pham Thi Huong,7.6,8.7,7.2,8.1
22127735,Tran Van Long,9.9,6.9,7.8,8
22127896,Hoang Thi Nga,9.9,10,8.4,9.7
