Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127100,Nguyen Van Bao,7.9,7.9,7.3,7.8
20127433,Pham Thanh Huong,7,8.1,7,7.5
20127424,Vo Quang Hieu,7.7,9.1,6.9,8.3
20127182,Bui Thi Lan,7.8,9.9,7.8,8.8
20127857,Phan Huy Hoang,9.8,6.6,9.9,8.2
20127943,Tran Ngoc Anh,8.1,6.5,9.2,7.5
20127369,Vo Thi Mai,8.3,7.1,9.3,7.9
20127762,Nguyen Hoang Nam,8.1,8.8,8.3,8.5
20127519,Pham Thi Dieu Linh,6.6,8.6,8.9,8
20127710,Do Van Hieu,9,7.8,9,8.4
20127955,Luu Thi Hien,6.5,7.9,7.8,7.4
20127226,Dinh Van Hoa,8.9,9.6,7.4,9
20127511,Nguyen Thi Kim Anh,9.2,9.3,8.4,9.1
20127899,Le Minh Hung,8.8,6.9,9.9,8
20127814,Tran Van Phuc,8,7.3,8,7.6
20127552,Hoang Thi Huong,7.7,8.3,9.1,8.2
20127915,Trinh Van Hien,8.3,8,8.1,8.1
20127984,Ngo Thi Ngoc Tram,7.1,7.4,8,7.4
20127390,Huynh Van Minh,8.6,9.9,6.4,8.9
20127441,Ho Thi Mai,8.1,6.6,8.7,7.5
20127407,Truong Van Hung,6.5,8.3,6.4,7.4
20127651,Le Thi Ha,9.8,6.6,9.6,8.2
20127864,Vo Van Huy,6.6,7.4,7.9,7.2
20127447,Bui Thi Thanh Huong,9.9,9.6,7.1,9.3
20127341,Phan Van Trung,8.2,6.8,7.7,7.4
20127906,Tran Thi Kim Ngan,6.6,7.1,8.7,7.2
20127501,Vo Van Thanh,9.5,7.8,9.8,8.7
20127677,Nguyen Thi Thu Ha,9.6,8.5,6.4,8.5
20127980,Pham Van Son,7.7,7.8,7.4,7.7
20127327,Do Thi Bich Ngoc,9.7,9.9,6.7,9.3
20127795,Luu Van Hien,7.5,9.9,8.4,8.8
20127842,Dinh Thi Thanh Huyen,8.1,8.6,8.3,8.4
20127999,Nguyen Van Hoang,8,8.5,7.1,8.1
20127657,Le Thi Thuy Trang,9.4,8,6.8,8.3
20127938,Tran Van Hieu,7.8,9.2,7.2,8.4
20127618,Hoang Thi Thu Ha,9.1,8.7,9,8.9
20127323,Trinh Van Hung,9.9,7.4,8.1,8.3
20127403,Ngo Thi Thu Trang,8.2,8.9,8.1,8.5
20127716,Huynh Van Hieu,8.6,8,6.8,8
20127858,Ho Thi Thanh Thao,7.6,7.7,6.6,7.5
20127384,Truong Van Huy,8.3,7.6,9.5,8.2
20127363,Le Thi Huong,9.2,8.6,9,8.9
20127498,Vo Van Anh,9.8,9.4,8.7,9.4
20127494,Bui Thi Hoa,7.2,8.6,8.6,8.1
20127945,Phan Van Quan,9.6,9.4,9.3,9.5
20127730,Tran Thi Thanh Thao,8.3,6.8,9.6,7.8
20127650,Vo Van Minh,6.6,8.3,7.6,7.6
20127320,Nguyen Thi Thanh Huong,6.9,9.8,9.9,8.8
20127603,Pham Van Hieu,8.2,7.7,9.9,8.2
20127810,Do Thi Thu Huong,9.9,8.8,7.5,9
