Student ID,Student Name,Midterm Mark,Final Mark,Other Mark,Total Mark
20127952,Tran Thi Mai,6.8,8,10,7.9
20127187,Hoang Tuan Anh,7.9,9.1,9.3,8.7
20127975,Do Thu Ha,9.1,9.3,7.2,8.9
20127897,Luu Hoang Long,9.3,9.9,8.8,9.5
20127426,Dinh Thi Ngoc,8.3,7.4,6.5,7.6
20127436,Nguyen Duc Quan,10,7.2,7.2,8.1
20127771,Le Minh Tuan,6.9,9.6,9.2,8.6
20127253,Tran Thi Nga,9.5,10,6.7,9.3
20127529,Hoang Minh Quan,8.9,9.4,7.8,9
20127597,Trinh Thi Thu Trang,6.9,9.8,7.7,8.5
20127958,Ngo Duc An,9.8,7.4,9.3,8.5
20127675,Huynh Thi My,8.2,8.1,8,8.1
20127930,Ho Van Khanh,9.7,8.7,7.1,8.8
20127865,Truong Van Thanh,9.4,9,9,9.1
20127522,Le Thi Thanh Tam,7.7,9.6,9.2,8.9
20127961,Vo Van An,8.6,8.9,7.7,8.6
20127533,Bui Thi Lan Anh,6.6,6.9,6.4,6.7
20127734,Phan Van Hieu,8.9,9.3,9.5,9.2
20127660,Tran Thi My Linh,7.1,9.6,8.9,8.7
20127250,Vo Van Quan,8.3,7.2,7.3,7.6
20127645,Nguyen Thi Thanh Thao,9.9,8.7,8,9
20127585,Pham Van Tuan,6.6,7.4,7.4,7.1
20127310,Do Thi Phuong Thao,8.7,9.2,7.7,8.8
20127921,Luu Van Minh,7.8,8.4,8.2,8.2
20127435,Dinh Thi Lan Anh,8.6,8.1,8.9,8.4
20127827,Nguyen Van Anh,7,8.9,7.4,8
20127813,Le Thi Ngoc Anh,9.2,9.2,9.5,9.2
20127564,Tran Van Long,7.1,7.5,8.9,7.6
20127838,Hoang Thi Thu Hang,8.3,6.5,8.1,7.4
20127947,Trinh Van Hieu,6.5,7.4,7.7,7.2
20127925,Ngo Thi Thu Hang,6.9,9.9,7.4,8.5
20127612,Huynh Van Thanh,9,8.7,7.8,8.6
20127482,Ho Thi Bich Ngoc,7.7,8.7,7.5,8.2
20127255,Truong Van Anh,7.7,9.4,8.1,8.6
20127726,Le Thi Bich Ngoc,7.7,9.2,7.3,8.4
20127202,Vo Van Hieu,8.1,9.9,7,8.8
20127575,Bui Thi Thuy Linh,9.9,6.6,7.7,7.9
20127755,Phan Van Nam,6.6,9.8,8.2,8.5
20127541,Tran Thi Thu Huong,7.3,9.6,8.3,8.6
20127572,Vo Van Trung,8.4,9.1,9,8.8
20127286,Nguyen Thi Thu Hang,8.1,8.7,6.5,8.1
20127887,Pham Van Nam,7.9,9,9.7,8.8
20127693,Do Thi Lan,9.5,8,9.7,8.8
20127456,Luu Van Anh,8.6,7.7,7.5,8
20127620,Dinh Thi Kim Anh,7.1,8.4,7.2,7.8
20127490,Nguyen Van Anh,9.9,7.3,9.6,8.6
20127266,Le Thi Hong,7.8,8.9,9.1,8.6
20127309,Tran Van Huy,9,9.5,8.7,9.2
20127928,Hoang Thi Thu Trang,8.4,7.1,8.9,7.8
20127870,Trinh Van Anh,8.7,7.1,6.4,7.5
